Date,Open,High,Low,Close
06/09/2021,"90.13","90.17","89.84","90.12"
06/08/2021,"89.99","90.18","89.96","90.08"
06/07/2021,"90.13","90.30","89.91","89.95"
06/04/2021,"90.47","90.63","90.03","90.14"
06/03/2021,"89.93","90.55","89.89","90.51"
06/02/2021,"89.92","90.25","89.86","89.91"
06/01/2021,"89.81","89.94","89.66","89.83"
05/31/2021,"90.03","90.12","89.82","90.03"
05/28/2021,"90.03","90.44","89.98","90.03"
05/27/2021,"90.08","90.18","89.89","89.97"
05/26/2021,"89.69","90.11","89.59","90.04"
05/25/2021,"89.85","89.87","89.54","89.64"
05/24/2021,"90.03","90.10","89.76","89.84"
05/21/2021,"89.78","90.15","89.65","90.02"
05/20/2021,"90.21","90.23","89.75","89.81"
05/19/2021,"89.78","90.29","89.69","90.19"
05/18/2021,"90.18","90.20","89.69","89.75"
05/17/2021,"90.30","90.43","90.15","90.16"
05/14/2021,"90.76","90.80","90.28","90.32"
05/13/2021,"90.75","90.91","90.59","90.75"
05/12/2021,"90.19","90.80","90.16","90.71"
05/11/2021,"90.24","90.36","89.98","90.14"
05/10/2021,"90.21","90.34","90.04","90.21"
05/07/2021,"90.88","90.96","90.19","90.23"
05/06/2021,"91.27","91.38","90.88","90.95"
05/05/2021,"91.28","91.44","91.17","91.31"
05/04/2021,"91.00","91.40","90.99","91.29"
05/03/2021,"91.30","91.39","90.87","90.95"
04/30/2021,"90.63","91.32","90.59","91.28"
04/29/2021,"90.55","90.79","90.42","90.61"
04/28/2021,"90.90","91.13","90.55","90.61"
04/27/2021,"90.88","91.07","90.81","90.91"
04/26/2021,"90.86","90.99","90.68","90.81"
04/23/2021,"91.29","91.30","90.81","90.86"
04/22/2021,"91.11","91.42","91.00","91.33"
04/21/2021,"91.21","91.43","91.09","91.16"
04/20/2021,"91.05","91.28","90.86","91.24"
04/19/2021,"91.58","91.75","91.03","91.07"
04/16/2021,"91.66","91.81","91.49","91.56"
04/15/2021,"91.63","91.75","91.49","91.69"
04/14/2021,"91.83","91.83","91.57","91.69"
04/13/2021,"92.08","92.33","91.79","91.85"
04/12/2021,"92.18","92.33","92.01","92.14"
04/09/2021,"92.07","92.41","92.03","92.16"
04/08/2021,"92.42","92.48","92.00","92.06"
04/07/2021,"92.32","92.50","92.14","92.46"
04/06/2021,"92.57","92.79","92.27","92.34"
04/05/2021,"93.01","93.11","92.54","92.60"
04/02/2021,"92.89","93.07","92.83","93.01"
04/01/2021,"93.22","93.34","92.88","92.93"
03/31/2021,"93.24","93.44","92.99","93.23"
03/30/2021,"92.91","93.35","92.88","93.30"
03/29/2021,"92.74","92.96","92.72","92.94"
03/26/2021,"92.81","92.87","92.65","92.77"
03/25/2021,"92.60","92.92","92.51","92.53"
03/24/2021,"92.39","92.61","92.34","92.53"
03/23/2021,"91.80","92.40","91.76","92.34"
03/22/2021,"91.74","92.15","91.71","91.74"
03/19/2021,"91.83","92.17","91.66","91.92"
03/18/2021,"91.40","91.90","91.30","91.86"
03/17/2021,"91.86","92.00","91.37","91.44"
03/16/2021,"91.83","92.03","91.68","91.87"
03/15/2021,"91.68","91.97","91.54","91.83"
03/12/2021,"91.43","91.96","91.40","91.68"
03/11/2021,"91.79","91.88","91.37","91.42"
