Date,Open,High,Low,Close
06/04/2021,".1.6129",".1.6157",".1.6053",".1.6071"
06/03/2021,".1.6017",".1.6157",".1.6013",".1.6128"
06/02/2021,".1.6008",".1.6079",".1.5987",".1.6018"
06/01/2021,".1.5997",".1.6017",".1.5963",".1.6007"
05/31/2021,".1.6038",".1.6054",".1.5988",".1.5998"
05/28/2021,".1.6038",".1.6115",".1.6025",".1.6039"
05/27/2021,".1.6041",".1.6065",".1.6019",".1.6037"
05/26/2021,".1.5969",".1.6056",".1.5949",".1.6040"
05/25/2021,".1.6061",".1.6062",".1.5944",".1.5968"
05/24/2021,".1.6059",".1.6064",".1.6056",".1.6060"
05/21/2021,".1.5998",".1.6062",".1.5970",".1.6059"
05/20/2021,".1.6056",".1.6073",".1.5992",".1.5997"
05/19/2021,".1.5997",".1.6071",".1.5973",".1.6057"
05/18/2021,".1.6092",".1.6101",".1.5987",".1.5998"
05/17/2021,".1.6108",".1.6130",".1.6070",".1.6091"
05/14/2021,".1.6201",".1.6204",".1.6103",".1.6106"
05/13/2021,".1.6190",".1.6230",".1.6160",".1.6202"
05/12/2021,".1.6097",".1.6214",".1.6093",".1.6191"
05/11/2021,".1.6116",".1.6131",".1.6058",".1.6098"
05/10/2021,".1.6082",".1.6128",".1.6061",".1.6115"
05/07/2021,".1.6227",".1.6228",".1.6069",".1.6077"
05/06/2021,".1.6293",".1.6308",".1.6206",".1.6223"
05/05/2021,".1.6268",".1.6331",".1.6267",".1.6296"
05/04/2021,".1.6274",".1.6279",".1.6270",".1.6273"
05/03/2021,".1.6256",".1.6276",".1.6254",".1.6273"
04/30/2021,".1.6132",".1.6276",".1.6126",".1.6261"
04/29/2021,".1.6124",".1.6174",".1.6097",".1.6133"
04/28/2021,".1.6178",".1.6224",".1.6118",".1.6125"
04/27/2021,".1.6180",".1.6220",".1.6173",".1.6179"
04/26/2021,".1.6168",".1.6216",".1.6144",".1.6181"
04/23/2021,".1.6274",".1.6290",".1.6164",".1.6172"
04/22/2021,".1.6252",".1.6307",".1.6206",".1.6273"
04/21/2021,".1.6245",".1.6300",".1.6237",".1.6253"
04/20/2021,".1.6250",".1.6281",".1.6191",".1.6244"
04/19/2021,".1.6324",".1.6357",".1.6236",".1.6249"
04/16/2021,".1.6342",".1.6366",".1.6309",".1.6325"
04/15/2021,".1.6330",".1.6360",".1.6308",".1.6341"
04/14/2021,".1.6370",".1.6371",".1.6315",".1.6329"
04/13/2021,".1.6439",".1.6456",".1.6359",".1.6369"
04/12/2021,".1.6454",".1.6476",".1.6409",".1.6438"
04/09/2021,".1.6423",".1.6473",".1.6407",".1.6432"
04/08/2021,".1.6468",".1.6491",".1.6398",".1.6422"
04/07/2021,".1.6474",".1.6491",".1.6415",".1.6465"
04/06/2021,".1.6557",".1.6617",".1.6466",".1.6475"
04/05/2021,".1.6632",".1.6663",".1.6548",".1.6558"
04/02/2021,".1.6617",".1.6647",".1.6593",".1.6632"
04/01/2021,".1.6674",".1.6702",".1.6605",".1.6618"
03/31/2021,".1.6698",".1.6712",".1.6639",".1.6673"
03/30/2021,".1.6613",".1.6701",".1.6606",".1.6699"
03/29/2021,".1.6567",".1.6641",".1.6567",".1.6612"
03/26/2021,".1.6623",".1.6626",".1.6572",".1.6577"
03/25/2021,".1.6557",".1.6628",".1.6536",".1.6624"
03/24/2021,".1.6507",".1.6563",".1.6494",".1.6558"
03/23/2021,".1.6388",".1.6528",".1.6379",".1.6506"
03/22/2021,".1.6449",".1.6466",".1.6371",".1.6386"
03/19/2021,".1.6407",".1.6471",".1.6388",".1.6448"
03/18/2021,".1.6331",".1.6428",".1.6315",".1.6410"
03/17/2021,".1.6431",".1.6450",".1.6321",".1.6330"
03/16/2021,".1.6387",".1.6448",".1.6366",".1.6430"
03/15/2021,".1.6365",".1.6420",".1.6365",".1.6388"
03/12/2021,".1.6325",".1.6422",".1.6312",".1.6365"
03/11/2021,".1.6410",".1.6415",".1.6312",".1.6324"
03/10/2021,".1.6445",".1.6479",".1.6395",".1.6408"
03/09/2021,".1.6498",".1.6524",".1.6409",".1.6443"
03/08/2021,".1.6413",".1.6514",".1.6405",".1.6497"
