Date,Open,High,Low,Close
06/04/2021,"..0.3757","..0.3781","..0.3757","..0.3770"
06/03/2021,"..0.3771","..0.3781","..0.3757","..0.3767"
06/02/2021,"..0.3777","..0.3781","..0.3760","..0.3770"
06/01/2021,"..0.3770","..0.3781","..0.3756","..0.3767"
05/31/2021,"..0.3770","..0.3781","..0.3757","..0.3767"
05/28/2021,"..0.3766","..0.3781","..0.3756","..0.3770"
05/27/2021,"..0.3771","..0.3781","..0.3756","..0.3766"
05/26/2021,"..0.3770","..0.3781","..0.3760","..0.3771"
05/25/2021,"..0.3757","..0.3781","..0.3757","..0.3771"
05/24/2021,"..0.3770","..0.3781","..0.3760","..0.3767"
05/21/2021,"..0.3760","..0.3781","..0.3760","..0.3768"
05/20/2021,"..0.3770","..0.3781","..0.3760","..0.3770"
05/19/2021,"..0.3770","..0.3781","..0.3759","..0.3770"
05/18/2021,"..0.3776","..0.3781","..0.3760","..0.3767"
05/17/2021,"..0.3770","..0.3781","..0.3760","..0.3766"
05/14/2021,"..0.3770","..0.3780","..0.3757","..0.3770"
05/13/2021,"..0.3770","..0.3777","..0.3757","..0.3770"
05/12/2021,"..0.3761","..0.3781","..0.3760","..0.3771"
05/11/2021,"..0.3770","..0.3783","..0.3760","..0.3771"
05/10/2021,"..0.3770","..0.3781","..0.3742","..0.3767"
05/07/2021,"..0.3780","..0.3780","..0.3757","..0.3769"
05/06/2021,"..0.3767","..0.3781","..0.3759","..0.3770"
05/05/2021,"..0.3760","..0.3781","..0.3757","..0.3768"
05/04/2021,"..0.3779","..0.3781","..0.3760","..0.3770"
05/03/2021,"..0.3770","..0.3784","..0.3758","..0.3769"
04/30/2021,"..0.3760","..0.3781","..0.3757","..0.3769"
04/29/2021,"..0.3780","..0.3781","..0.3760","..0.3770"
04/28/2021,"..0.3760","..0.3781","..0.3757","..0.3770"
04/27/2021,"..0.3760","..0.3780","..0.3760","..0.3770"
04/26/2021,"..0.3770","..0.3781","..0.3756","..0.3770"
04/23/2021,"..0.3770","..0.3781","..0.3756","..0.3770"
04/22/2021,"..0.3761","..0.3781","..0.3756","..0.3769"
04/21/2021,"..0.3770","..0.3780","..0.3757","..0.3771"
04/20/2021,"..0.3759","..0.3781","..0.3756","..0.3770"
04/19/2021,"..0.3770","..0.3780","..0.3760","..0.3769"
04/16/2021,"..0.3780","..0.3781","..0.3759","..0.3770"
04/15/2021,"..0.3770","..0.3781","..0.3755","..0.3770"
04/14/2021,"..0.3770","..0.3781","..0.3755","..0.3769"
04/13/2021,"..0.3769","..0.3781","..0.3759","..0.3770"
04/12/2021,"..0.3770","..0.3781","..0.3756","..0.3767"
04/09/2021,"..0.3777","..0.3781","..0.3757","..0.3770"
04/08/2021,"..0.3770","..0.3781","..0.3760","..0.3767"
04/07/2021,"..0.3771","..0.3781","..0.3750","..0.3770"
04/06/2021,"..0.3777","..0.3781","..0.3736","..0.3767"
04/05/2021,"..0.3770","..0.3782","..0.3757","..0.3767"
04/02/2021,"..0.3770","..0.3782","..0.3757","..0.3770"
04/01/2021,"..0.3781","..0.3781","..0.3758","..0.3770"
03/31/2021,"..0.3761","..0.3781","..0.3760","..0.3771"
03/30/2021,"..0.3770","..0.3781","..0.3757","..0.3771"
03/29/2021,"..0.3766","..0.3781","..0.3757","..0.3771"
03/26/2021,"..0.3761","..0.3781","..0.3760","..0.3771"
03/25/2021,"..0.3780","..0.3782","..0.3760","..0.3771"
03/24/2021,"..0.3771","..0.3781","..0.3760","..0.3770"
03/23/2021,"..0.3771","..0.3781","..0.3760","..0.3767"
03/22/2021,"..0.3770","..0.3781","..0.3757","..0.3771"
03/19/2021,"..0.3770","..0.3781","..0.3760","..0.3770"
03/18/2021,"..0.3770","..0.3781","..0.3760","..0.3770"
03/17/2021,"..0.3780","..0.3781","..0.3760","..0.3770"
03/16/2021,"..0.3781","..0.3781","..0.3760","..0.3770"
03/15/2021,"..0.3771","..0.3781","..0.3760","..0.3771"
03/12/2021,"..0.3761","..0.3781","..0.3760","..0.3771"
03/11/2021,"..0.3781","..0.3782","..0.3757","..0.3771"
03/10/2021,"..0.3772","..0.3782","..0.3759","..0.3771"
03/09/2021,"..0.3772","..0.3782","..0.3760","..0.3771"
03/08/2021,"..0.3772","..0.3782","..0.3761","..0.3772"
