Date,Open,High,Low,Close
06/04/2021,"10.6046","10.6371","10.5165","10.5710"
06/03/2021,"10.5877","10.6385","10.5275","10.6046"
06/02/2021,"10.6271","10.6598","10.5721","10.5877"
06/01/2021,"10.6216","10.6611","10.5821","10.6271"
05/31/2021,"10.6385","10.6428","10.5834","10.6216"
05/28/2021,"10.6158","10.6825","10.6058","10.6385"
05/27/2021,"10.6158","10.6817","10.5721","10.6158"
05/26/2021,"10.6441","10.6654","10.6002","10.6158"
05/25/2021,"10.6839","10.7156","10.6058","10.6441"
05/24/2021,"10.6839","10.7283","10.6511","10.6839"
05/21/2021,"10.7068","10.7168","10.6398","10.6839"
05/20/2021,"10.7125","10.7627","10.6839","10.7068"
05/19/2021,"10.6896","10.7415","10.6625","10.7125"
05/18/2021,"10.7528","10.7528","10.6625","10.6896"
05/17/2021,"10.7413","10.7917","10.7198","10.7528"
05/14/2021,"10.7125","10.7917","10.6783","10.7413"
05/13/2021,"10.7125","10.7513","10.6716","10.7125"
05/12/2021,"10.7097","10.7627","10.6839","10.7125"
05/11/2021,"10.7068","10.8051","10.6737","10.7243"
05/10/2021,"10.7587","10.7993","10.6739","10.7068"
05/07/2021,"10.8935","10.9035","10.7312","10.7587"
05/06/2021,"10.8935","10.8937","10.7893","10.8935"
05/05/2021,"10.9171","10.9271","10.8051","10.8935"
05/04/2021,"10.8993","10.9330","10.8051","10.9171"
05/03/2021,"10.8758","10.9293","10.8051","10.8993"
04/30/2021,"10.8168","10.9212","10.7876","10.8758"
04/29/2021,"10.8168","10.8463","10.7486","10.8168"
04/28/2021,"10.8402","10.8855","10.7951","10.8168"
04/27/2021,"10.8051","10.8560","10.7951","10.8402"
04/26/2021,"10.8168","10.8268","10.7630","10.8051"
04/23/2021,"10.8268","10.8385","10.7718","10.8168"
04/22/2021,"10.8052","10.8402","10.7760","10.8168"
04/21/2021,"10.8286","10.8502","10.7876","10.8052"
04/20/2021,"10.7934","10.8463","10.7644","10.7993"
04/19/2021,"10.8051","10.8576","10.7601","10.7934"
04/16/2021,"10.7934","10.8637","10.7762","10.8051"
04/15/2021,"10.9590","10.9590","10.7718","10.7934"
04/14/2021,"10.9231","10.9590","10.8597","10.9590"
04/13/2021,"10.9471","11.0420","10.9131","10.9231"
04/12/2021,"10.9531","11.0112","10.9250","10.9471"
04/09/2021,"10.9232","10.9992","10.8884","10.9531"
04/08/2021,"10.9351","10.9530","10.8834","10.9232"
04/07/2021,"10.9352","10.9651","10.8777","10.9351"
04/06/2021,"11.0197","11.0197","10.9130","10.9352"
04/05/2021,"11.0440","11.0440","10.9972","11.0197"
04/02/2021,"11.0440","11.0440","10.9828","11.0440"
04/01/2021,"11.0622","11.0843","10.9731","11.0440"
03/31/2021,"11.0865","11.1206","11.0094","11.0622"
03/30/2021,"11.0743","11.1212","11.0582","11.0865"
03/29/2021,"11.0620","11.1212","11.0620","11.0743"
03/26/2021,"11.1115","11.1297","11.0620","11.0620"
03/25/2021,"11.0255","11.1362","11.0136","11.1115"
03/24/2021,"10.9774","11.0659","10.9530","11.0255"
03/23/2021,"10.9530","11.0537","10.9450","10.9774"
03/22/2021,"11.0014","11.0476","10.9191","10.9530"
03/19/2021,"10.9469","11.0178","10.9131","11.0014"
03/18/2021,"10.9771","11.0072","10.9012","10.9894"
03/17/2021,"10.9831","11.0597","10.9771","10.9771"
03/16/2021,"11.0072","11.0476","10.9551","10.9831"
03/15/2021,"11.0439","11.0675","10.9731","11.0072"
03/12/2021,"11.0072","11.0847","11.0012","11.0439"
03/11/2021,"11.0927","11.0927","10.9771","11.0072"
03/10/2021,"11.1421","11.1845","11.0521","11.0927"
03/09/2021,"11.1611","11.2447","11.1198","11.1421"
03/08/2021,"11.1484","11.2588","11.1384","11.1611"
