Date,Open,High,Low,Close
06/04/2021,"94.73","94.89","94.63","94.79"
06/03/2021,"94.78","94.85","94.66","94.75"
06/02/2021,"94.64","94.81","94.60","94.76"
06/01/2021,"94.61","94.79","94.24","94.65"
05/31/2021,"94.55","94.72","94.31","94.62"
05/28/2021,"94.46","94.68","94.40","94.53"
05/27/2021,"94.48","94.63","94.42","94.45"
05/26/2021,"94.22","94.52","94.15","94.48"
05/25/2021,"94.20","94.30","94.12","94.23"
05/24/2021,"94.20","94.61","94.14","94.21"
05/21/2021,"94.26","94.31","94.13","94.20"
05/20/2021,"94.19","94.28","94.07","94.27"
05/19/2021,"94.08","94.25","93.95","94.20"
05/18/2021,"94.07","94.20","94.01","94.06"
05/17/2021,"93.96","94.16","93.84","94.06"
05/14/2021,"94.01","94.10","93.90","93.96"
05/13/2021,"93.99","94.23","93.86","94.00"
05/12/2021,"93.87","94.02","93.72","93.97"
05/11/2021,"93.85","94.03","93.79","93.85"
05/10/2021,"93.84","94.11","93.24","93.85"
05/07/2021,"93.80","93.87","93.61","93.85"
05/06/2021,"93.68","93.83","93.25","93.81"
05/05/2021,"93.72","93.80","93.59","93.67"
05/04/2021,"93.67","93.75","93.47","93.73"
05/03/2021,"93.39","93.99","93.38","93.66"
04/30/2021,"93.49","93.63","93.34","93.48"
04/29/2021,"93.42","93.56","93.25","93.50"
04/28/2021,"93.33","93.47","93.17","93.43"
04/27/2021,"93.28","93.37","93.17","93.34"
04/26/2021,"93.17","93.31","92.66","93.28"
04/23/2021,"93.08","93.16","92.97","93.14"
04/22/2021,"92.96","93.12","92.90","93.08"
04/21/2021,"92.96","93.06","92.87","92.95"
04/20/2021,"92.92","93.05","92.82","92.96"
04/19/2021,"92.82","93.14","92.31","92.91"
04/16/2021,"92.74","92.83","92.62","92.80"
04/15/2021,"92.66","92.86","92.56","92.75"
04/14/2021,"92.61","92.72","92.58","92.67"
04/13/2021,"92.56","92.66","92.46","92.63"
04/12/2021,"92.33","92.63","92.11","92.57"
04/09/2021,"92.33","92.47","92.22","92.35"
04/08/2021,"92.26","92.51","92.20","92.30"
04/07/2021,"92.28","92.38","92.21","92.23"
04/06/2021,"92.15","92.33","92.13","92.27"
04/05/2021,"91.67","92.30","91.58","92.17"
04/02/2021,"91.66","91.80","91.43","91.61"
04/01/2021,"91.99","92.04","91.64","91.65"
03/31/2021,"91.96","92.03","91.79","91.99"
03/30/2021,"91.91","92.04","91.81","91.94"
03/29/2021,"91.64","92.10","91.64","91.93"
03/26/2021,"91.71","91.88","91.59","91.86"
03/25/2021,"91.44","91.82","91.40","91.73"
03/24/2021,"91.58","91.84","91.41","91.44"
03/23/2021,"91.55","91.67","91.45","91.56"
03/22/2021,"91.17","91.60","90.96","91.56"
03/19/2021,"91.29","91.47","91.18","91.27"
03/18/2021,"91.22","91.32","91.07","91.29"
03/17/2021,"91.14","91.32","91.10","91.21"
03/16/2021,"91.09","91.17","90.73","91.12"
03/15/2021,"90.79","91.13","90.44","91.08"
03/12/2021,"90.76","90.89","90.70","90.77"
03/11/2021,"90.69","90.84","90.66","90.78"
03/10/2021,"90.57","90.77","90.52","90.70"
03/09/2021,"90.51","90.69","90.45","90.58"
03/08/2021,"90.30","90.64","90.16","90.50"
