Date,Open,High,Low,Close
06/04/2021,"1.3055","1.3072","1.2908","1.2915"
06/03/2021,"1.2897","1.3079","1.2893","1.3053"
06/02/2021,"1.2898","1.2962","1.2864","1.2897"
06/01/2021,"1.2930","1.2937","1.2870","1.2899"
05/31/2021,"1.2964","1.2989","1.2915","1.2930"
05/28/2021,"1.2915","1.3026","1.2907","1.2968"
05/27/2021,"1.2920","1.2950","1.2890","1.2914"
05/26/2021,"1.2900","1.2937","1.2825","1.2917"
05/25/2021,"1.2902","1.2932","1.2858","1.2898"
05/24/2021,"1.2939","1.2977","1.2888","1.2900"
05/21/2021,"1.2860","1.2957","1.2847","1.2938"
05/20/2021,"1.2940","1.2959","1.2850","1.2863"
05/19/2021,"1.2834","1.2969","1.2817","1.2940"
05/18/2021,"1.2879","1.2889","1.2798","1.2836"
05/17/2021,"1.2878","1.2878","1.2878","1.2878"
05/14/2021,"1.2937","1.2965","1.2840","1.2857"
05/13/2021,"1.2943","1.3008","1.2908","1.2938"
05/12/2021,"1.2943","1.2943","1.2943","1.2943"
05/11/2021,"1.2768","1.2788","1.2728","1.2750"
05/10/2021,"1.2739","1.2778","1.2671","1.2770"
05/07/2021,"1.2850","1.2887","1.2718","1.2745"
05/06/2021,"1.2908","1.2986","1.2840","1.2849"
05/05/2021,"1.2977","1.2982","1.2895","1.2907"
05/04/2021,"1.2882","1.3030","1.2877","1.2970"
05/03/2021,"1.2958","1.2979","1.2873","1.2885"
04/30/2021,"1.2877","1.2994","1.2841","1.2965"
04/29/2021,"1.2836","1.2904","1.2789","1.2875"
04/28/2021,"1.2875","1.2945","1.2817","1.2837"
04/27/2021,"1.2822","1.2885","1.2809","1.2878"
04/26/2021,"1.2917","1.2924","1.2794","1.2822"
04/23/2021,"1.2974","1.2992","1.2885","1.2910"
04/22/2021,"1.2900","1.3004","1.2878","1.2977"
04/21/2021,"1.2942","1.2989","1.2882","1.2898"
04/20/2021,"1.2892","1.2974","1.2793","1.2945"
04/19/2021,"1.2922","1.3240","1.2844","1.2892"
04/16/2021,"1.2902","1.2949","1.2887","1.2927"
04/15/2021,"1.2944","1.2979","1.2883","1.2898"
04/14/2021,"1.3084","1.3100","1.2922","1.2950"
04/13/2021,"1.3115","1.3183","1.3070","1.3084"
04/12/2021,"1.3120","1.3169","1.3095","1.3117"
04/09/2021,"1.3069","1.3179","1.3051","1.3127"
04/08/2021,"1.3132","1.3154","1.3053","1.3065"
04/07/2021,"1.3051","1.3160","1.3024","1.3135"
04/06/2021,"1.3074","1.3150","1.3038","1.3048"
04/05/2021,"1.3139","1.3162","1.3052","1.3071"
04/02/2021,"1.3127","1.3202","1.3088","1.3139"
04/01/2021,"1.3161","1.3278","1.3122","1.3131"
03/31/2021,"1.3165","1.3179","1.3094","1.3165"
03/30/2021,"1.3100","1.3186","1.3048","1.3162"
03/29/2021,"1.3103","1.3134","1.3062","1.3104"
03/26/2021,"1.3194","1.3201","1.3076","1.3089"
03/25/2021,"1.3187","1.3224","1.3134","1.3193"
03/24/2021,"1.3138","1.3195","1.3095","1.3190"
03/23/2021,"1.2912","1.3129","1.2903","1.3113"
03/22/2021,"1.2924","1.2984","1.2890","1.2907"
03/19/2021,"1.2888","1.2958","1.2865","1.2915"
03/18/2021,"1.2825","1.2905","1.2739","1.2889"
03/17/2021,"1.2909","1.2989","1.2802","1.2827"
03/16/2021,"1.2895","1.2969","1.2887","1.2910"
03/15/2021,"1.2877","1.2977","1.2863","1.2897"
03/12/2021,"1.2837","1.2945","1.2819","1.2882"
03/11/2021,"1.2929","1.2949","1.2829","1.2839"
03/10/2021,"1.2962","1.3042","1.2912","1.2930"
03/09/2021,"1.3074","1.3122","1.2943","1.2955"
03/08/2021,"1.3009","1.3098","1.2950","1.3076"
