Date,Open,High,Low,Close
06/04/2021,"5.0779","5.1146","5.0320","5.0488"
06/03/2021,"5.0761","5.0820","5.0749","5.0780"
06/02/2021,"5.1511","5.1739","5.0680","5.0762"
06/01/2021,"5.2188","5.2221","5.1401","5.1512"
05/31/2021,"5.2264","5.2406","5.1988","5.2192"
05/28/2021,"5.2388","5.2604","5.2088","5.2255"
05/27/2021,"5.3124","5.3138","5.2360","5.2381"
05/26/2021,"5.3319","5.3436","5.2872","5.3116"
05/25/2021,"5.3196","5.3465","5.2942","5.3320"
05/24/2021,"5.3667","5.3727","5.3106","5.3185"
05/21/2021,"5.2849","5.3664","5.2706","5.3664"
05/20/2021,"5.3098","5.3113","5.2696","5.2851"
05/19/2021,"5.2612","5.3247","5.2590","5.3105"
05/18/2021,"5.2754","5.2810","5.2313","5.2614"
05/17/2021,"5.2711","5.3199","5.2448","5.2756"
05/14/2021,"5.3103","5.3103","5.2458","5.2727"
05/13/2021,"5.3056","5.3327","5.2521","5.3087"
05/12/2021,"5.2218","5.3197","5.2115","5.3071"
05/11/2021,"5.2271","5.2810","5.2047","5.2213"
05/10/2021,"5.2370","5.2517","5.1981","5.2287"
05/07/2021,"5.2774","5.2951","5.2030","5.2369"
05/06/2021,"5.3547","5.3747","5.2575","5.2757"
05/05/2021,"5.4435","5.4478","5.3517","5.3543"
05/04/2021,"5.4429","5.4841","5.4117","5.4428"
05/03/2021,"5.4411","5.4543","5.3730","5.4423"
04/30/2021,"5.3384","5.4450","5.3364","5.4392"
04/29/2021,"5.3428","5.3790","5.3290","5.3382"
04/28/2021,"5.4511","5.4561","5.3436","5.3446"
04/27/2021,"5.4360","5.4669","5.4111","5.4509"
04/26/2021,"5.4786","5.4898","5.4325","5.4351"
04/23/2021,"5.4456","5.5224","5.4245","5.4760"
04/22/2021,"5.5679","5.5708","5.4378","5.4461"
04/21/2021,"5.5676","5.5719","5.5668","5.5698"
04/20/2021,"5.5483","5.5861","5.5029","5.5675"
04/19/2021,"5.5886","5.6210","5.5270","5.5494"
04/16/2021,"5.6162","5.6774","5.5662","5.5879"
04/15/2021,"5.6536","5.6588","5.5952","5.6157"
04/14/2021,"5.7180","5.7354","5.6479","5.6526"
04/13/2021,"5.7336","5.7559","5.6634","5.7177"
04/12/2021,"5.6808","5.7416","5.6300","5.7340"
04/09/2021,"5.5730","5.6846","5.5664","5.6817"
04/08/2021,"5.6161","5.6161","5.5385","5.5713"
04/07/2021,"5.5924","5.6538","5.5480","5.6164"
04/06/2021,"5.6657","5.6682","5.5789","5.5929"
04/05/2021,"5.7080","5.7124","5.6337","5.6663"
04/02/2021,"5.7090","5.7113","5.7079","5.7080"
04/01/2021,"5.6337","5.7270","5.6102","5.7095"
03/31/2021,"5.7757","5.7763","5.6225","5.6348"
03/30/2021,"5.7813","5.8022","5.7241","5.7751"
03/29/2021,"5.7562","5.8066","5.7379","5.7814"
03/26/2021,"5.6464","5.7569","5.6454","5.7566"
03/25/2021,"5.6223","5.6794","5.6174","5.6476"
03/24/2021,"5.5221","5.6427","5.4911","5.6226"
03/23/2021,"5.5051","5.5466","5.4674","5.5207"
03/22/2021,"5.4908","5.5469","5.4878","5.5044"
03/19/2021,"5.5611","5.5640","5.4497","5.4911"
03/18/2021,"5.5849","5.5875","5.4774","5.5623"
03/17/2021,"5.6253","5.6789","5.5716","5.5872"
03/16/2021,"5.6168","5.6281","5.5589","5.6256"
03/15/2021,"5.5531","5.6552","5.5160","5.6175"
03/12/2021,"5.5363","5.5823","5.5324","5.5522"
03/11/2021,"5.6724","5.6730","5.5270","5.5362"
03/10/2021,"5.8027","5.8140","5.6463","5.6723"
03/09/2021,"5.8757","5.8790","5.7726","5.8028"
03/08/2021,"5.6911","5.8760","5.6901","5.8758"
