Date,Open,High,Low,Close
06/04/2021,"0.7099","0.7101","0.7042","0.7063"
06/03/2021,"0.7057","0.7099","0.7041","0.7089"
06/02/2021,"0.7057","0.7057","0.7057","0.7057"
06/01/2021,"0.7035","0.7070","0.7019","0.7068"
05/31/2021,"0.7042","0.7061","0.7033","0.7036"
05/28/2021,"0.7039","0.7075","0.7036","0.7047"
05/27/2021,"0.7082","0.7097","0.7033","0.7040"
05/26/2021,"0.7065","0.7087","0.7054","0.7084"
05/25/2021,"0.7065","0.7085","0.7037","0.7068"
05/24/2021,"0.7065","0.7065","0.7065","0.7065"
05/21/2021,"0.7047","0.7073","0.7025","0.7067"
05/20/2021,"0.7087","0.7092","0.7046","0.7048"
05/19/2021,"0.7049","0.7093","0.7041","0.7085"
05/18/2021,"0.7074","0.7077","0.7032","0.7048"
05/17/2021,"0.7095","0.7104","0.7068","0.7075"
05/14/2021,"0.7117","0.7125","0.7087","0.7094"
05/13/2021,"0.7115","0.7140","0.7103","0.7117"
05/12/2021,"0.7071","0.7118","0.7065","0.7116"
05/11/2021,"0.7084","0.7091","0.7059","0.7072"
05/10/2021,"0.7151","0.7154","0.7063","0.7084"
05/07/2021,"0.7201","0.7201","0.7139","0.7153"
05/06/2021,"0.7190","0.7217","0.7173","0.7199"
05/05/2021,"0.7202","0.7207","0.7180","0.7192"
05/04/2021,"0.7190","0.7226","0.7186","0.7200"
05/03/2021,"0.7240","0.7246","0.7177","0.7189"
04/30/2021,"0.7173","0.7246","0.7164","0.7237"
04/29/2021,"0.7175","0.7179","0.7155","0.7174"
04/28/2021,"0.7189","0.7215","0.7168","0.7176"
04/27/2021,"0.7194","0.7217","0.7182","0.7188"
04/26/2021,"0.7205","0.7213","0.7176","0.7196"
04/23/2021,"0.7226","0.7229","0.7196","0.7229"
04/22/2021,"0.7179","0.7234","0.7168","0.7225"
04/21/2021,"0.7175","0.7202","0.7168","0.7178"
04/20/2021,"0.7150","0.7182","0.7138","0.7174"
04/19/2021,"0.7229","0.7242","0.7146","0.7151"
04/16/2021,"0.7254","0.7291","0.7224","0.7225"
04/15/2021,"0.7258","0.7267","0.7241","0.7256"
04/14/2021,"0.7272","0.7274","0.7242","0.7258"
04/13/2021,"0.7278","0.7302","0.7263","0.7273"
04/12/2021,"0.7297","0.7316","0.7258","0.7276"
04/09/2021,"0.7281","0.7315","0.7272","0.7297"
04/08/2021,"0.7281","0.7289","0.7255","0.7281"
04/07/2021,"0.7233","0.7288","0.7226","0.7279"
04/06/2021,"0.7196","0.7246","0.7184","0.7234"
04/05/2021,"0.7230","0.7243","0.7187","0.7195"
04/02/2021,"0.7229","0.7240","0.7219","0.7230"
04/01/2021,"0.7256","0.7275","0.7227","0.7230"
03/31/2021,"0.7280","0.7291","0.7241","0.7255"
03/30/2021,"0.7266","0.7297","0.7255","0.7277"
03/29/2021,"0.7266","0.7266","0.7266","0.7266"
03/26/2021,"0.7282","0.7284","0.7240","0.7249"
03/25/2021,"0.7308","0.7315","0.7275","0.7282"
03/24/2021,"0.7308","0.7308","0.7308","0.7308"
03/23/2021,"0.7213","0.7277","0.7212","0.7272"
03/22/2021,"0.7209","0.7238","0.7206","0.7214"
03/19/2021,"0.7181","0.7231","0.7164","0.7211"
03/18/2021,"0.7161","0.7196","0.7142","0.7180"
03/17/2021,"0.7199","0.7220","0.7158","0.7162"
03/16/2021,"0.7196","0.7242","0.7192","0.7199"
03/15/2021,"0.7182","0.7219","0.7169","0.7193"
03/12/2021,"0.7148","0.7213","0.7140","0.7184"
03/11/2021,"0.7178","0.7187","0.7145","0.7147"
03/10/2021,"0.7201","0.7223","0.7174","0.7177"
03/09/2021,"0.7234","0.7246","0.7182","0.7199"
03/08/2021,"0.7224","0.7246","0.7212","0.7235"
