Date,Open,High,Low,Close
06/07/2021,"0.010550","0.010558","0.010523","0.010535"
06/04/2021,"0.010556","0.010568","0.010538","0.010550"
06/03/2021,"0.010551","0.010564","0.010543","0.010554"
06/02/2021,"0.010566","0.010571","0.010547","0.010553"
06/01/2021,"0.010569","0.010611","0.010549","0.010565"
05/31/2021,"0.010576","0.010603","0.010558","0.010569"
05/28/2021,"0.010587","0.010593","0.010562","0.010578"
05/27/2021,"0.010584","0.010591","0.010567","0.010588"
05/26/2021,"0.010614","0.010621","0.010579","0.010585"
05/25/2021,"0.010616","0.010625","0.010604","0.010613"
05/24/2021,"0.010616","0.010622","0.010570","0.010614"
05/21/2021,"0.010609","0.010624","0.010603","0.010616"
05/20/2021,"0.010617","0.010631","0.010607","0.010608"
05/19/2021,"0.010630","0.010644","0.010610","0.010616"
05/18/2021,"0.010630","0.010637","0.010616","0.010631"
05/17/2021,"0.010643","0.010656","0.010620","0.010632"
05/14/2021,"0.010637","0.010649","0.010627","0.010643"
05/13/2021,"0.010640","0.010654","0.010612","0.010638"
05/12/2021,"0.010653","0.010670","0.010636","0.010642"
05/11/2021,"0.010656","0.010662","0.010635","0.010655"
05/10/2021,"0.010656","0.010725","0.010626","0.010655"
05/07/2021,"0.010661","0.010683","0.010652","0.010656"
05/06/2021,"0.010675","0.010724","0.010657","0.010660"
05/05/2021,"0.010670","0.010685","0.010661","0.010676"
05/04/2021,"0.010676","0.010699","0.010667","0.010669"
05/03/2021,"0.010708","0.010709","0.010639","0.010677"
04/30/2021,"0.010697","0.010713","0.010680","0.010697"
04/29/2021,"0.010704","0.010724","0.010689","0.010696"
04/28/2021,"0.010715","0.010733","0.010698","0.010703"
04/27/2021,"0.010720","0.010733","0.010710","0.010714"
04/26/2021,"0.010733","0.010793","0.010716","0.010720"
04/23/2021,"0.010743","0.010756","0.010734","0.010736"
04/22/2021,"0.010758","0.010765","0.010738","0.010744"
04/21/2021,"0.010757","0.010768","0.010745","0.010758"
04/20/2021,"0.010762","0.010774","0.010746","0.010758"
04/19/2021,"0.010774","0.010833","0.010736","0.010763"
04/16/2021,"0.010783","0.010797","0.010773","0.010776"
04/15/2021,"0.010792","0.010803","0.010769","0.010782"
04/14/2021,"0.010798","0.010802","0.010785","0.010791"
04/13/2021,"0.010804","0.010815","0.010792","0.010796"
04/12/2021,"0.010830","0.010856","0.010795","0.010802"
04/09/2021,"0.010830","0.010843","0.010814","0.010828"
04/08/2021,"0.010839","0.010845","0.010810","0.010834"
04/07/2021,"0.010837","0.010845","0.010825","0.010842"
04/06/2021,"0.010852","0.010854","0.010831","0.010838"
04/05/2021,"0.010909","0.010919","0.010834","0.010850"
04/02/2021,"0.010909","0.010938","0.010894","0.010916"
04/01/2021,"0.010871","0.010913","0.010865","0.010911"
03/31/2021,"0.010875","0.010894","0.010866","0.010871"
03/30/2021,"0.010880","0.010892","0.010864","0.010877"
03/29/2021,"0.010912","0.010912","0.010857","0.010878"
03/26/2021,"0.010904","0.010919","0.010883","0.010886"
03/25/2021,"0.010936","0.010941","0.010891","0.010902"
03/24/2021,"0.010920","0.010940","0.010888","0.010937"
03/23/2021,"0.010923","0.010935","0.010908","0.010921"
03/22/2021,"0.010969","0.010994","0.010917","0.010922"
03/19/2021,"0.010955","0.010968","0.010933","0.010957"
03/18/2021,"0.010962","0.010981","0.010951","0.010955"
03/17/2021,"0.010972","0.010977","0.010950","0.010963"
03/16/2021,"0.010978","0.011022","0.010968","0.010974"
03/15/2021,"0.011014","0.011058","0.010974","0.010979"
03/12/2021,"0.011018","0.011026","0.011002","0.011017"
03/11/2021,"0.011027","0.011030","0.011009","0.011015"
03/10/2021,"0.011041","0.011047","0.011017","0.011025"
03/09/2021,"0.011049","0.011055","0.011027","0.011039"
