Date,Open,High,Low,Close
06/07/2021,"0.7738","0.7767","0.7726","0.7755"
06/04/2021,"0.7653","0.7747","0.7650","0.7743"
06/03/2021,"0.7753","0.7756","0.7646","0.7661"
06/02/2021,"0.7753","0.7773","0.7715","0.7754"
06/01/2021,"0.7734","0.7770","0.7730","0.7752"
05/31/2021,"0.7714","0.7743","0.7700","0.7736"
05/28/2021,"0.7743","0.7748","0.7677","0.7711"
05/27/2021,"0.7740","0.7758","0.7722","0.7744"
05/26/2021,"0.7750","0.7797","0.7730","0.7742"
05/25/2021,"0.7751","0.7777","0.7733","0.7753"
05/24/2021,"0.7732","0.7759","0.7707","0.7752"
05/21/2021,"0.7777","0.7784","0.7718","0.7729"
05/20/2021,"0.7727","0.7782","0.7717","0.7774"
05/19/2021,"0.7792","0.7802","0.7711","0.7728"
05/18/2021,"0.7765","0.7814","0.7759","0.7791"
05/17/2021,"0.7782","0.7785","0.7731","0.7769"
05/14/2021,"0.7730","0.7788","0.7713","0.7778"
05/13/2021,"0.7726","0.7747","0.7688","0.7729"
05/12/2021,"0.7841","0.7847","0.7719","0.7724"
05/11/2021,"0.7832","0.7857","0.7820","0.7843"
05/10/2021,"0.7850","0.7892","0.7826","0.7829"
05/07/2021,"0.7782","0.7863","0.7761","0.7846"
05/06/2021,"0.7747","0.7788","0.7701","0.7785"
05/05/2021,"0.7709","0.7755","0.7704","0.7748"
05/04/2021,"0.7763","0.7766","0.7675","0.7710"
05/03/2021,"0.7717","0.7768","0.7706","0.7761"
04/30/2021,"0.7766","0.7785","0.7696","0.7713"
04/29/2021,"0.7792","0.7819","0.7750","0.7767"
04/28/2021,"0.7767","0.7802","0.7725","0.7790"
04/27/2021,"0.7800","0.7806","0.7761","0.7765"
04/26/2021,"0.7745","0.7816","0.7738","0.7799"
04/23/2021,"0.7709","0.7761","0.7697","0.7746"
04/22/2021,"0.7752","0.7765","0.7690","0.7706"
04/21/2021,"0.7727","0.7763","0.7699","0.7753"
04/20/2021,"0.7757","0.7817","0.7708","0.7725"
04/19/2021,"0.7739","0.7785","0.7553","0.7759"
04/16/2021,"0.7751","0.7760","0.7724","0.7736"
04/15/2021,"0.7725","0.7762","0.7705","0.7753"
04/14/2021,"0.7643","0.7739","0.7634","0.7722"
04/13/2021,"0.7625","0.7651","0.7586","0.7644"
04/12/2021,"0.7622","0.7636","0.7595","0.7623"
04/09/2021,"0.7653","0.7662","0.7588","0.7618"
04/08/2021,"0.7615","0.7661","0.7602","0.7654"
04/07/2021,"0.7662","0.7678","0.7599","0.7613"
04/06/2021,"0.7652","0.7670","0.7605","0.7664"
04/05/2021,"0.7611","0.7661","0.7598","0.7653"
04/02/2021,"0.7618","0.7638","0.7596","0.7611"
04/01/2021,"0.7598","0.7621","0.7531","0.7616"
03/31/2021,"0.7596","0.7637","0.7588","0.7595"
03/30/2021,"0.7634","0.7664","0.7584","0.7598"
03/29/2021,"0.7632","0.7656","0.7614","0.7631"
03/26/2021,"0.7579","0.7646","0.7575","0.7640"
03/25/2021,"0.7583","0.7614","0.7562","0.7580"
03/24/2021,"0.7623","0.7635","0.7579","0.7582"
03/23/2021,"0.7745","0.7750","0.7617","0.7626"
03/22/2021,"0.7738","0.7758","0.7704","0.7748"
03/19/2021,"0.7759","0.7773","0.7717","0.7744"
03/18/2021,"0.7797","0.7850","0.7749","0.7761"
03/17/2021,"0.7745","0.7811","0.7699","0.7798"
03/16/2021,"0.7752","0.7759","0.7711","0.7746"
03/15/2021,"0.7766","0.7774","0.7706","0.7754"
03/12/2021,"0.7790","0.7801","0.7725","0.7763"
03/11/2021,"0.7735","0.7795","0.7723","0.7789"
03/10/2021,"0.7715","0.7745","0.7668","0.7734"
03/09/2021,"0.7649","0.7726","0.7621","0.7719"
