Date,Open,High,Low,Close
06/07/2021,"0.6222","0.6240","0.6209","0.6234"
06/04/2021,"0.6200","0.6229","0.6189","0.6222"
06/03/2021,"0.6243","0.6245","0.6189","0.6200"
06/02/2021,"0.6247","0.6255","0.6219","0.6243"
06/01/2021,"0.6251","0.6264","0.6243","0.6247"
05/31/2021,"0.6235","0.6255","0.6229","0.6251"
05/28/2021,"0.6235","0.6240","0.6205","0.6235"
05/27/2021,"0.6234","0.6243","0.6225","0.6236"
05/26/2021,"0.6262","0.6270","0.6228","0.6234"
05/25/2021,"0.6226","0.6272","0.6226","0.6263"
05/24/2021,"0.6227","0.6228","0.6225","0.6227"
05/21/2021,"0.6251","0.6262","0.6226","0.6227"
05/20/2021,"0.6228","0.6253","0.6222","0.6251"
05/19/2021,"0.6251","0.6261","0.6222","0.6228"
05/18/2021,"0.6214","0.6255","0.6211","0.6251"
05/17/2021,"0.6208","0.6223","0.6200","0.6215"
05/14/2021,"0.6172","0.6210","0.6171","0.6209"
05/13/2021,"0.6177","0.6188","0.6161","0.6172"
05/12/2021,"0.6212","0.6214","0.6168","0.6176"
05/11/2021,"0.6205","0.6227","0.6199","0.6212"
05/10/2021,"0.6205","0.6205","0.6205","0.6205"
05/07/2021,"0.6163","0.6223","0.6162","0.6220"
05/06/2021,"0.6138","0.6171","0.6132","0.6164"
05/05/2021,"0.6147","0.6147","0.6123","0.6136"
05/04/2021,"0.6145","0.6146","0.6143","0.6145"
05/03/2021,"0.6152","0.6152","0.6144","0.6145"
04/30/2021,"0.6199","0.6201","0.6144","0.6150"
04/29/2021,"0.6202","0.6212","0.6183","0.6198"
04/28/2021,"0.6181","0.6204","0.6164","0.6202"
04/27/2021,"0.6180","0.6183","0.6165","0.6181"
04/26/2021,"0.6185","0.6194","0.6167","0.6180"
04/23/2021,"0.6145","0.6187","0.6139","0.6184"
04/22/2021,"0.6153","0.6171","0.6132","0.6145"
04/21/2021,"0.6156","0.6159","0.6135","0.6153"
04/20/2021,"0.6154","0.6176","0.6142","0.6156"
04/19/2021,"0.6126","0.6159","0.6114","0.6154"
04/16/2021,"0.6119","0.6132","0.6110","0.6126"
04/15/2021,"0.6124","0.6132","0.6112","0.6120"
04/14/2021,"0.6109","0.6129","0.6108","0.6124"
04/13/2021,"0.6083","0.6113","0.6077","0.6109"
04/12/2021,"0.6078","0.6094","0.6069","0.6083"
04/09/2021,"0.6089","0.6095","0.6071","0.6086"
04/08/2021,"0.6072","0.6098","0.6064","0.6089"
04/07/2021,"0.6070","0.6092","0.6064","0.6073"
04/06/2021,"0.6040","0.6073","0.6018","0.6070"
04/05/2021,"0.6013","0.6043","0.6001","0.6039"
04/02/2021,"0.6018","0.6027","0.6007","0.6013"
04/01/2021,"0.5997","0.6022","0.5987","0.6018"
03/31/2021,"0.5989","0.6010","0.5984","0.5998"
03/30/2021,"0.6019","0.6022","0.5988","0.5988"
03/29/2021,"0.6036","0.6036","0.6009","0.6020"
03/26/2021,"0.6016","0.6034","0.6015","0.6032"
03/25/2021,"0.6040","0.6047","0.6014","0.6015"
03/24/2021,"0.6058","0.6063","0.6038","0.6039"
03/23/2021,"0.6102","0.6105","0.6050","0.6058"
03/22/2021,"0.6079","0.6108","0.6073","0.6103"
03/19/2021,"0.6095","0.6102","0.6071","0.6080"
03/18/2021,"0.6123","0.6129","0.6087","0.6094"
03/17/2021,"0.6086","0.6127","0.6079","0.6124"
03/16/2021,"0.6102","0.6110","0.6080","0.6086"
03/15/2021,"0.6111","0.6111","0.6090","0.6102"
03/12/2021,"0.6126","0.6130","0.6089","0.6111"
03/11/2021,"0.6094","0.6130","0.6092","0.6126"
03/10/2021,"0.6081","0.6099","0.6068","0.6095"
03/09/2021,"0.6061","0.6094","0.6052","0.6082"
