Date,Open,High,Low,Close
06/07/2021,"2.6522","2.6621","2.6456","2.6558"
06/04/2021,"2.6619","2.6619","2.6447","2.6525"
06/03/2021,"2.6619","2.6619","2.6619","2.6619"
06/02/2021,"2.6477","2.6600","2.6450","2.6529"
06/01/2021,"2.6527","2.6628","2.6450","2.6547"
05/31/2021,"2.6528","2.6621","2.6449","2.6551"
05/28/2021,"2.6554","2.6625","2.6452","2.6528"
05/27/2021,"2.6519","2.6626","2.6452","2.6553"
05/26/2021,"2.6526","2.6600","2.6451","2.6520"
05/25/2021,"2.6621","2.6621","2.6449","2.6522"
05/24/2021,"2.6529","2.6600","2.6452","2.6551"
05/21/2021,"2.6600","2.6600","2.6452","2.6538"
05/20/2021,"2.6527","2.6600","2.6449","2.6529"
05/19/2021,"2.6525","2.6604","2.6452","2.6529"
05/18/2021,"2.6525","2.6525","2.6525","2.6525"
05/17/2021,"2.6526","2.6600","2.6452","2.6552"
05/14/2021,"2.6525","2.6621","2.6459","2.6528"
05/13/2021,"2.6526","2.6618","2.6480","2.6526"
05/12/2021,"2.6593","2.6600","2.6452","2.6522"
05/11/2021,"2.6526","2.6600","2.6438","2.6522"
05/10/2021,"2.6523","2.6724","2.6447","2.6551"
05/07/2021,"2.6455","2.6618","2.6454","2.6537"
05/06/2021,"2.6550","2.6607","2.6449","2.6525"
05/05/2021,"2.6596","2.6618","2.6449","2.6541"
05/04/2021,"2.6463","2.6600","2.6449","2.6526"
05/03/2021,"2.6526","2.6608","2.6428","2.6533"
04/30/2021,"2.6600","2.6621","2.6452","2.6537"
04/29/2021,"2.6459","2.6599","2.6452","2.6529"
04/28/2021,"2.6596","2.6619","2.6449","2.6529"
04/27/2021,"2.6596","2.6600","2.6455","2.6526"
04/26/2021,"2.6526","2.6628","2.6450","2.6526"
04/23/2021,"2.6529","2.6622","2.6449","2.6524"
04/22/2021,"2.6593","2.6625","2.6449","2.6530"
04/21/2021,"2.6525","2.6618","2.6453","2.6522"
04/20/2021,"2.6604","2.6625","2.6449","2.6526"
04/19/2021,"2.6526","2.6600","2.6456","2.6533"
04/16/2021,"2.6456","2.6604","2.6449","2.6526"
04/15/2021,"2.6526","2.6632","2.6449","2.6526"
04/14/2021,"2.6527","2.6632","2.6450","2.6533"
04/13/2021,"2.6537","2.6604","2.6451","2.6526"
04/12/2021,"2.6529","2.6625","2.6449","2.6547"
04/09/2021,"2.6480","2.6621","2.6452","2.6525"
04/08/2021,"2.6480","2.6480","2.6480","2.6480"
04/07/2021,"2.6522","2.6671","2.6449","2.6526"
04/06/2021,"2.6477","2.6771","2.6450","2.6547"
04/05/2021,"2.6525","2.6618","2.6445","2.6547"
04/02/2021,"2.6527","2.6618","2.6445","2.6525"
04/01/2021,"2.6452","2.6614","2.6452","2.6528"
03/31/2021,"2.6593","2.6600","2.6452","2.6522"
03/30/2021,"2.6523","2.6619","2.6452","2.6522"
03/29/2021,"2.6558","2.6621","2.6452","2.6522"
03/26/2021,"2.6593","2.6600","2.6450","2.6522"
03/25/2021,"2.6593","2.6593","2.6593","2.6593"
03/24/2021,"2.6522","2.6596","2.6449","2.6526"
03/23/2021,"2.6522","2.6596","2.6449","2.6551"
03/22/2021,"2.6523","2.6617","2.6449","2.6522"
03/19/2021,"2.6525","2.6600","2.6449","2.6525"
03/18/2021,"2.6524","2.6596","2.6449","2.6526"
03/17/2021,"2.6456","2.6600","2.6449","2.6526"
03/16/2021,"2.6449","2.6596","2.6449","2.6526"
03/15/2021,"2.6449","2.6449","2.6449","2.6449"
03/12/2021,"2.6592","2.6596","2.6447","2.6519"
03/11/2021,"2.6446","2.6618","2.6445","2.6521"
03/10/2021,"2.6514","2.6604","2.6442","2.6516"
03/09/2021,"2.6513","2.6600","2.6442","2.6516"
