Date,Open,High,Low,Close
06/07/2021,"0.1980","0.1993","0.1972","0.1982"
06/04/2021,"0.1969","0.1987","0.1955","0.1981"
06/03/2021,"0.1970","0.1970","0.1968","0.1969"
06/02/2021,"0.1941","0.1973","0.1933","0.1970"
06/01/2021,"0.1916","0.1945","0.1915","0.1941"
05/31/2021,"0.1913","0.1924","0.1908","0.1916"
05/28/2021,"0.1909","0.1920","0.1901","0.1914"
05/27/2021,"0.1882","0.1910","0.1882","0.1909"
05/26/2021,"0.1876","0.1891","0.1871","0.1883"
05/25/2021,"0.1880","0.1889","0.1870","0.1875"
05/24/2021,"0.1863","0.1883","0.1861","0.1880"
05/21/2021,"0.1892","0.1897","0.1863","0.1863"
05/20/2021,"0.1883","0.1898","0.1883","0.1892"
05/19/2021,"0.1901","0.1902","0.1878","0.1883"
05/18/2021,"0.1896","0.1912","0.1894","0.1901"
05/17/2021,"0.1897","0.1907","0.1880","0.1896"
05/14/2021,"0.1883","0.1906","0.1883","0.1897"
05/13/2021,"0.1885","0.1904","0.1875","0.1884"
05/12/2021,"0.1915","0.1919","0.1880","0.1884"
05/11/2021,"0.1913","0.1921","0.1894","0.1915"
05/10/2021,"0.1909","0.1924","0.1904","0.1913"
05/07/2021,"0.1895","0.1922","0.1889","0.1910"
05/06/2021,"0.1868","0.1902","0.1861","0.1895"
05/05/2021,"0.1837","0.1869","0.1836","0.1868"
05/04/2021,"0.1837","0.1848","0.1823","0.1837"
05/03/2021,"0.1838","0.1861","0.1833","0.1837"
04/30/2021,"0.1873","0.1874","0.1837","0.1839"
04/29/2021,"0.1872","0.1877","0.1859","0.1873"
04/28/2021,"0.1834","0.1871","0.1833","0.1871"
04/27/2021,"0.1840","0.1848","0.1829","0.1835"
04/26/2021,"0.1825","0.1841","0.1822","0.1840"
04/23/2021,"0.1836","0.1843","0.1811","0.1826"
04/22/2021,"0.1796","0.1839","0.1795","0.1836"
04/21/2021,"0.1796","0.1796","0.1795","0.1795"
04/20/2021,"0.1802","0.1817","0.1790","0.1796"
04/19/2021,"0.1789","0.1809","0.1779","0.1802"
04/16/2021,"0.1781","0.1797","0.1761","0.1790"
04/15/2021,"0.1781","0.1781","0.1781","0.1781"
04/14/2021,"0.1749","0.1771","0.1744","0.1769"
04/13/2021,"0.1744","0.1766","0.1737","0.1749"
04/12/2021,"0.1760","0.1776","0.1742","0.1744"
04/09/2021,"0.1794","0.1796","0.1759","0.1760"
04/08/2021,"0.1781","0.1806","0.1781","0.1795"
04/07/2021,"0.1788","0.1802","0.1769","0.1781"
04/06/2021,"0.1765","0.1792","0.1764","0.1788"
04/05/2021,"0.1752","0.1775","0.1751","0.1765"
04/02/2021,"0.1752","0.1752","0.1751","0.1752"
04/01/2021,"0.1775","0.1782","0.1746","0.1751"
03/31/2021,"0.1731","0.1779","0.1731","0.1775"
03/30/2021,"0.1730","0.1747","0.1723","0.1732"
03/29/2021,"0.1737","0.1743","0.1722","0.1730"
03/26/2021,"0.1771","0.1771","0.1737","0.1737"
03/25/2021,"0.1779","0.1780","0.1761","0.1771"
03/24/2021,"0.1779","0.1779","0.1779","0.1779"
03/23/2021,"0.1816","0.1829","0.1803","0.1811"
03/22/2021,"0.1821","0.1822","0.1803","0.1817"
03/19/2021,"0.1798","0.1835","0.1797","0.1821"
03/18/2021,"0.1791","0.1826","0.1790","0.1798"
03/17/2021,"0.1778","0.1795","0.1761","0.1790"
03/16/2021,"0.1780","0.1799","0.1777","0.1778"
03/15/2021,"0.1801","0.1813","0.1768","0.1780"
03/12/2021,"0.1806","0.1808","0.1791","0.1801"
03/11/2021,"0.1763","0.1809","0.1763","0.1806"
03/10/2021,"0.1723","0.1771","0.1720","0.1763"
03/09/2021,"0.1702","0.1732","0.1701","0.1723"
