Date,Open,High,Low,Close
06/07/2021,"1.1122","1.1152","1.1096","1.1142"
06/04/2021,"1.1069","1.1133","1.1044","1.1123"
06/03/2021,"1.1138","1.1141","1.1046","1.1068"
06/02/2021,"1.1138","1.1138","1.1138","1.1138"
06/01/2021,"1.1123","1.1178","1.1111","1.1142"
05/31/2021,"1.1123","1.1123","1.1123","1.1123"
05/28/2021,"1.1151","1.1153","1.1073","1.1114"
05/27/2021,"1.1136","1.1161","1.1100","1.1147"
05/26/2021,"1.1168","1.1184","1.1126","1.1133"
05/25/2021,"1.1150","1.1198","1.1142","1.1172"
05/24/2021,"1.1136","1.1164","1.1107","1.1151"
05/21/2021,"1.1146","1.1169","1.1110","1.1138"
05/20/2021,"1.1066","1.1146","1.1053","1.1145"
05/19/2021,"1.1138","1.1152","1.1052","1.1067"
05/18/2021,"1.1073","1.1161","1.1067","1.1137"
05/17/2021,"1.1083","1.1110","1.1068","1.1071"
05/14/2021,"1.1036","1.1096","1.1029","1.1095"
05/13/2021,"1.0996","1.1049","1.0995","1.1039"
05/12/2021,"1.0996","1.0996","1.0996","1.0996"
05/11/2021,"1.1096","1.1111","1.1061","1.1066"
05/10/2021,"1.1098","1.1130","1.1072","1.1098"
05/07/2021,"1.1020","1.1106","1.0996","1.1105"
05/06/2021,"1.0953","1.1022","1.0933","1.1022"
05/05/2021,"1.0946","1.0963","1.0911","1.0952"
05/04/2021,"1.0977","1.0984","1.0916","1.0948"
05/03/2021,"1.0958","1.0997","1.0930","1.0976"
04/30/2021,"1.1005","1.1013","1.0940","1.0951"
04/29/2021,"1.0994","1.1013","1.0965","1.1000"
04/28/2021,"1.0947","1.1005","1.0891","1.0996"
04/27/2021,"1.0940","1.0961","1.0902","1.0946"
04/26/2021,"1.0940","1.0964","1.0910","1.0936"
04/23/2021,"1.0908","1.0955","1.0894","1.0943"
04/22/2021,"1.0908","1.0908","1.0908","1.0908"
04/21/2021,"1.0922","1.0925","1.0874","1.0905"
04/20/2021,"1.0934","1.0948","1.0905","1.0921"
04/19/2021,"1.0866","1.0955","1.0850","1.0927"
04/16/2021,"1.0838","1.0893","1.0828","1.0872"
04/15/2021,"1.0837","1.0862","1.0815","1.0844"
04/14/2021,"1.0861","1.0886","1.0828","1.0839"
04/13/2021,"1.0840","1.0872","1.0796","1.0860"
04/12/2021,"1.0817","1.0853","1.0784","1.0846"
04/09/2021,"1.0818","1.0827","1.0772","1.0817"
04/08/2021,"1.0750","1.0832","1.0747","1.0821"
04/07/2021,"1.0740","1.0790","1.0723","1.0760"
04/06/2021,"1.0679","1.0749","1.0642","1.0738"
04/05/2021,"1.0679","1.0679","1.0679","1.0679"
04/02/2021,"1.0617","1.0634","1.0599","1.0610"
04/01/2021,"1.0595","1.0633","1.0556","1.0618"
03/31/2021,"1.0615","1.0635","1.0572","1.0598"
03/30/2021,"1.0648","1.0654","1.0594","1.0613"
03/29/2021,"1.0646","1.0671","1.0633","1.0647"
03/26/2021,"1.0642","1.0659","1.0617","1.0647"
03/25/2021,"1.0687","1.0695","1.0635","1.0635"
03/24/2021,"1.0707","1.0710","1.0671","1.0688"
03/23/2021,"1.0831","1.0838","1.0699","1.0708"
03/22/2021,"1.0755","1.0842","1.0741","1.0828"
03/19/2021,"1.0787","1.0810","1.0731","1.0761"
03/18/2021,"1.0839","1.0848","1.0746","1.0784"
03/17/2021,"1.0807","1.0855","1.0756","1.0840"
03/16/2021,"1.0781","1.0819","1.0767","1.0815"
03/15/2021,"1.0753","1.0791","1.0699","1.0784"
03/12/2021,"1.0817","1.0824","1.0723","1.0756"
03/11/2021,"1.0752","1.0830","1.0741","1.0818"
03/10/2021,"1.0777","1.0790","1.0725","1.0757"
03/09/2021,"1.0683","1.0782","1.0666","1.0781"
