Date,Open,High,Low,Close
06/07/2021,"0.001392","0.001400","0.001390","0.001396"
06/04/2021,"0.001391","0.001400","0.001390","0.001392"
06/03/2021,"0.001391","0.001394","0.001383","0.001391"
06/02/2021,"0.001391","0.001391","0.001391","0.001391"
06/01/2021,"0.001383","0.001392","0.001372","0.001373"
05/31/2021,"0.001380","0.001389","0.001378","0.001383"
05/28/2021,"0.001380","0.001385","0.001373","0.001380"
05/27/2021,"0.001370","0.001380","0.001363","0.001380"
05/26/2021,"0.001362","0.001372","0.001361","0.001370"
05/25/2021,"0.001370","0.001371","0.001356","0.001362"
05/24/2021,"0.001387","0.001389","0.001368","0.001370"
05/21/2021,"0.001387","0.001393","0.001386","0.001387"
05/20/2021,"0.001398","0.001407","0.001386","0.001387"
05/19/2021,"0.001403","0.001405","0.001390","0.001398"
05/18/2021,"0.001397","0.001407","0.001395","0.001402"
05/17/2021,"0.001429","0.001435","0.001394","0.001397"
05/14/2021,"0.001413","0.001431","0.001413","0.001429"
05/13/2021,"0.001414","0.001419","0.001407","0.001413"
05/12/2021,"0.001423","0.001424","0.001411","0.001413"
05/11/2021,"0.001435","0.001439","0.001422","0.001423"
05/10/2021,"0.001438","0.001448","0.001434","0.001435"
05/07/2021,"0.001428","0.001444","0.001428","0.001438"
05/06/2021,"0.001418","0.001431","0.001418","0.001428"
05/05/2021,"0.001421","0.001431","0.001417","0.001418"
05/04/2021,"0.001420","0.001427","0.001413","0.001421"
05/03/2021,"0.001407","0.001422","0.001406","0.001420"
04/30/2021,"0.001410","0.001416","0.001398","0.001407"
04/29/2021,"0.001436","0.001441","0.001407","0.001410"
04/28/2021,"0.001425","0.001437","0.001421","0.001436"
04/27/2021,"0.001418","0.001431","0.001417","0.001425"
04/26/2021,"0.001402","0.001421","0.001401","0.001418"
04/23/2021,"0.001415","0.001421","0.001398","0.001402"
04/22/2021,"0.001432","0.001433","0.001411","0.001415"
04/21/2021,"0.001435","0.001442","0.001431","0.001432"
04/20/2021,"0.001427","0.001440","0.001422","0.001435"
04/19/2021,"0.001427","0.001427","0.001427","0.001427"
04/16/2021,"0.001432","0.001432","0.001418","0.001423"
04/15/2021,"0.001409","0.001432","0.001409","0.001432"
04/14/2021,"0.001412","0.001420","0.001409","0.001409"
04/13/2021,"0.001402","0.001416","0.001400","0.001412"
04/12/2021,"0.001407","0.001417","0.001399","0.001402"
04/09/2021,"0.001412","0.001414","0.001402","0.001407"
04/08/2021,"0.001401","0.001418","0.001401","0.001412"
04/07/2021,"0.001393","0.001405","0.001392","0.001401"
04/06/2021,"0.001386","0.001397","0.001384","0.001393"
04/05/2021,"0.001395","0.001406","0.001382","0.001386"
04/02/2021,"0.001395","0.001396","0.001392","0.001395"
04/01/2021,"0.001388","0.001401","0.001387","0.001395"
03/31/2021,"0.001371","0.001393","0.001371","0.001388"
03/30/2021,"0.001362","0.001374","0.001356","0.001371"
03/29/2021,"0.001364","0.001369","0.001351","0.001362"
03/26/2021,"0.001379","0.001382","0.001363","0.001364"
03/25/2021,"0.001374","0.001380","0.001362","0.001379"
03/24/2021,"0.001383","0.001390","0.001373","0.001374"
03/23/2021,"0.001395","0.001395","0.001381","0.001383"
03/22/2021,"0.001402","0.001402","0.001388","0.001395"
03/19/2021,"0.001388","0.001403","0.001384","0.001402"
03/18/2021,"0.001384","0.001393","0.001368","0.001388"
03/17/2021,"0.001374","0.001386","0.001363","0.001384"
03/16/2021,"0.001383","0.001386","0.001370","0.001374"
03/15/2021,"0.001381","0.001391","0.001381","0.001383"
03/12/2021,"0.001402","0.001402","0.001380","0.001381"
03/11/2021,"0.001380","0.001403","0.001380","0.001402"
03/10/2021,"0.001360","0.001382","0.001360","0.001380"
03/09/2021,"0.001358","0.001371","0.001356","0.001360"
