Date,Open,High,Low,Close
06/07/2021,"0.1565","0.1566","0.1563","0.1566"
06/04/2021,"0.1563","0.1566","0.1560","0.1565"
06/03/2021,"0.1567","0.1568","0.1562","0.1563"
06/02/2021,"0.1567","0.1568","0.1565","0.1566"
06/01/2021,"0.1569","0.1572","0.1566","0.1567"
05/31/2021,"0.1573","0.1574","0.1568","0.1569"
05/28/2021,"0.1569","0.1573","0.1567","0.1572"
05/27/2021,"0.1567","0.1571","0.1564","0.1569"
05/26/2021,"0.1560","0.1568","0.1559","0.1567"
05/25/2021,"0.1560","0.1564","0.1559","0.1560"
05/24/2021,"0.1553","0.1560","0.1552","0.1560"
05/21/2021,"0.1555","0.1556","0.1552","0.1554"
05/20/2021,"0.1553","0.1555","0.1552","0.1555"
05/19/2021,"0.1558","0.1558","0.1552","0.1553"
05/18/2021,"0.1552","0.1558","0.1552","0.1557"
05/17/2021,"0.1553","0.1553","0.1550","0.1552"
05/14/2021,"0.1551","0.1555","0.1550","0.1553"
05/13/2021,"0.1548","0.1552","0.1548","0.1551"
05/12/2021,"0.1555","0.1556","0.1547","0.1548"
05/11/2021,"0.1557","0.1559","0.1554","0.1556"
05/10/2021,"0.1558","0.1562","0.1555","0.1557"
05/07/2021,"0.1547","0.1562","0.1546","0.1562"
05/06/2021,"0.1541","0.1547","0.1541","0.1547"
05/05/2021,"0.1542","0.1544","0.1540","0.1541"
05/04/2021,"0.1545","0.1546","0.1541","0.1542"
05/03/2021,"0.1545","0.1546","0.1542","0.1545"
04/30/2021,"0.1547","0.1548","0.1544","0.1545"
04/29/2021,"0.1544","0.1548","0.1544","0.1547"
04/28/2021,"0.1543","0.1546","0.1541","0.1544"
04/27/2021,"0.1543","0.1543","0.1543","0.1543"
04/26/2021,"0.1541","0.1545","0.1540","0.1545"
04/23/2021,"0.1539","0.1542","0.1539","0.1542"
04/22/2021,"0.1541","0.1543","0.1539","0.1539"
04/21/2021,"0.1538","0.1541","0.1538","0.1541"
04/20/2021,"0.1536","0.1541","0.1536","0.1538"
04/19/2021,"0.1532","0.1538","0.1530","0.1536"
04/16/2021,"0.1532","0.1534","0.1530","0.1532"
04/15/2021,"0.1531","0.1533","0.1528","0.1532"
04/14/2021,"0.1528","0.1532","0.1527","0.1531"
04/13/2021,"0.1527","0.1529","0.1525","0.1528"
04/12/2021,"0.1525","0.1528","0.1523","0.1527"
04/09/2021,"0.1525","0.1527","0.1522","0.1525"
04/08/2021,"0.1527","0.1528","0.1524","0.1525"
04/07/2021,"0.1528","0.1529","0.1526","0.1527"
04/06/2021,"0.1525","0.1529","0.1523","0.1528"
04/05/2021,"0.1521","0.1526","0.1519","0.1525"
04/02/2021,"0.1521","0.1523","0.1520","0.1521"
04/01/2021,"0.1523","0.1525","0.1518","0.1521"
03/31/2021,"0.1521","0.1525","0.1520","0.1523"
03/30/2021,"0.1521","0.1523","0.1519","0.1522"
03/29/2021,"0.1529","0.1529","0.1519","0.1521"
03/26/2021,"0.1527","0.1530","0.1527","0.1529"
03/25/2021,"0.1532","0.1532","0.1526","0.1527"
03/24/2021,"0.1533","0.1535","0.1531","0.1531"
03/23/2021,"0.1537","0.1538","0.1534","0.1534"
03/22/2021,"0.1537","0.1538","0.1534","0.1537"
03/19/2021,"0.1537","0.1538","0.1533","0.1537"
03/18/2021,"0.1542","0.1542","0.1535","0.1537"
03/17/2021,"0.1538","0.1542","0.1536","0.1542"
03/16/2021,"0.1539","0.1540","0.1537","0.1538"
03/15/2021,"0.1539","0.1540","0.1534","0.1539"
03/12/2021,"0.1543","0.1544","0.1535","0.1539"
03/11/2021,"0.1540","0.1544","0.1537","0.1544"
03/10/2021,"0.1534","0.1540","0.1532","0.1540"
03/09/2021,"0.1526","0.1536","0.1524","0.1534"
