Date,IDRUSD,INRUSD,KZTUSD,MOPUSD,KWDUSD,JPYUSD,ISKUSD,HUFUSD,HRKUSD,HKDUSD,GHSUSD,GBPUSD,EURUSD,EGPUSD,DKKUSD,CZKUSD,COPUSD,CNHUSD,CLPUSD,CFHUSD,BRLUSD,BHDUSD,BGNUSD,AUDUSD,ARSUSD
6/7/2021,0.00007011,0.013733,0.00234,0.1251,3.326,0.009153,0.008309,0.003517,0.1625,0.1289,0.1724,1.4177,1.219,0.06373,0.1639,0.047965,0.000277,0.1566,0.001396,1.1142,0.1982,2.6558,0.6234,0.7755,0.010535
6/4/2021,0.00006995,0.013671,0.002339,0.1251,3.326,0.009129,0.008271,0.003517,0.1621,0.1289,0.173,1.4156,1.2167,0.063727,0.1636,0.047851,0.000277,0.1565,0.001392,1.1123,0.1981,2.6525,0.6222,0.7743,0.01055
6/3/2021,0.00007,0.013691,0.002336,0.1251,3.3206,0.009066,0.008254,0.003492,0.1616,0.1289,0.1725,1.4106,1.2127,0.063735,0.163,0.047614,0.000273,0.1563,0.001391,1.1068,0.1969,2.6619,0.62,0.7661,0.010554
6/2/2021,0.00007003,0.013704,0.002333,0.1251,3.3259,0.009126,0.008347,0.003524,0.1627,0.1289,0.1725,1.417,1.2213,0.063733,0.1642,0.047954,0.000274,0.1566,0.001391,1.1138,0.197,2.6529,0.6243,0.7754,0.010553
6/1/2021,0.00007003,0.013728,0.002337,0.1251,3.3249,0.009133,0.008303,0.003529,0.1626,0.1289,0.1727,1.4149,1.2216,0.063782,0.1642,0.048062,0.000273,0.1567,0.001373,1.1142,0.1941,2.6547,0.6247,0.7752,0.010565
05/31/2021,0.00007003,0.013789,0.002335,0.1251,3.3243,0.009126,0.008284,0.003518,0.1628,0.1288,0.1725,1.4213,1.2227,0.063706,0.1644,0.048071,0.00027,0.1569,0.001383,1.1123,0.1916,2.6551,0.6251,0.7736,0.010569
05/28/2021,0.00007,0.013811,0.002334,0.125,3.3219,0.009103,0.008261,0.003502,0.1622,0.1288,0.173,1.419,1.2195,0.06386,0.164,0.047888,0.00027,0.1572,0.00138,1.1114,0.1914,2.6528,0.6235,0.7711,0.010578
05/27/2021,0.00006999,0.013753,0.00233,0.1251,3.3243,0.009104,0.0083,0.003504,0.1622,0.1289,0.1726,1.4203,1.2194,0.063779,0.164,0.047926,0.000269,0.1569,0.00138,1.1147,0.1909,2.6553,0.6236,0.7744,0.010588
05/26/2021,0.00006979,0.013763,0.002337,0.1251,3.3264,0.009162,0.008244,0.003487,0.1623,0.1288,0.1728,1.4117,1.2195,0.063775,0.164,0.047949,0.000267,0.1567,0.00137,1.1133,0.1883,2.652,0.6234,0.7742,0.010585
05/25/2021,0.00006979,0.013736,0.002339,0.1251,3.3247,0.009193,0.008239,0.00351,0.1631,0.1288,0.1729,1.4149,1.2252,0.063837,0.1648,0.048191,0.000267,0.156,0.001362,1.1172,0.1875,2.6522,0.6263,0.7753,0.010613
