Date,Open,High,Low,Close
06/07/2021,"0.1636","0.1642","0.1633","0.1639"
06/04/2021,"0.1630","0.1639","0.1628","0.1636"
06/03/2021,"0.1630","0.1630","0.1630","0.1630"
06/02/2021,"0.1642","0.1644","0.1636","0.1642"
06/01/2021,"0.1644","0.1649","0.1642","0.1642"
05/31/2021,"0.1640","0.1645","0.1638","0.1644"
05/28/2021,"0.1640","0.1642","0.1631","0.1640"
05/27/2021,"0.1640","0.1640","0.1640","0.1640"
05/26/2021,"0.1648","0.1650","0.1638","0.1640"
05/25/2021,"0.1643","0.1650","0.1642","0.1648"
05/24/2021,"0.1638","0.1645","0.1637","0.1643"
05/21/2021,"0.1644","0.1647","0.1635","0.1638"
05/20/2021,"0.1637","0.1645","0.1636","0.1644"
05/19/2021,"0.1637","0.1637","0.1637","0.1637"
05/18/2021,"0.1634","0.1645","0.1634","0.1644"
05/17/2021,"0.1633","0.1637","0.1630","0.1634"
05/14/2021,"0.1624","0.1634","0.1623","0.1633"
05/13/2021,"0.1623","0.1628","0.1621","0.1624"
05/12/2021,"0.1623","0.1623","0.1623","0.1623"
05/11/2021,"0.1631","0.1640","0.1630","0.1634"
05/10/2021,"0.1636","0.1638","0.1631","0.1631"
05/07/2021,"0.1623","0.1637","0.1621","0.1636"
05/06/2021,"0.1614","0.1623","0.1613","0.1623"
05/05/2021,"0.1614","0.1614","0.1614","0.1614"
05/04/2021,"0.1622","0.1623","0.1614","0.1616"
05/03/2021,"0.1618","0.1624","0.1616","0.1622"
04/30/2021,"0.1630","0.1631","0.1615","0.1616"
04/29/2021,"0.1631","0.1635","0.1627","0.1630"
04/28/2021,"0.1626","0.1632","0.1621","0.1631"
04/27/2021,"0.1626","0.1626","0.1626","0.1626"
04/26/2021,"0.1626","0.1630","0.1622","0.1625"
04/23/2021,"0.1616","0.1628","0.1615","0.1627"
04/22/2021,"0.1618","0.1623","0.1613","0.1616"
04/21/2021,"0.1619","0.1620","0.1613","0.1618"
04/20/2021,"0.1619","0.1619","0.1619","0.1619"
04/19/2021,"0.1611","0.1621","0.1606","0.1619"
04/16/2021,"0.1609","0.1614","0.1607","0.1611"
04/15/2021,"0.1611","0.1613","0.1608","0.1609"
04/14/2021,"0.1606","0.1612","0.1606","0.1611"
04/13/2021,"0.1601","0.1608","0.1597","0.1607"
04/12/2021,"0.1600","0.1604","0.1596","0.1601"
04/09/2021,"0.1602","0.1604","0.1596","0.1600"
04/08/2021,"0.1596","0.1604","0.1593","0.1602"
04/07/2021,"0.1596","0.1602","0.1595","0.1596"
04/06/2021,"0.1588","0.1598","0.1585","0.1597"
04/05/2021,"0.1581","0.1589","0.1578","0.1588"
04/02/2021,"0.1584","0.1586","0.1580","0.1581"
04/01/2021,"0.1577","0.1584","0.1574","0.1584"
03/31/2021,"0.1577","0.1577","0.1577","0.1577"
03/30/2021,"0.1576","0.1576","0.1576","0.1576"
03/29/2021,"0.1586","0.1586","0.1581","0.1582"
03/26/2021,"0.1582","0.1587","0.1582","0.1586"
03/25/2021,"0.1589","0.1591","0.1582","0.1582"
03/24/2021,"0.1594","0.1594","0.1588","0.1589"
03/23/2021,"0.1605","0.1606","0.1593","0.1594"
03/22/2021,"0.1601","0.1607","0.1597","0.1605"
03/19/2021,"0.1602","0.1606","0.1597","0.1601"
03/18/2021,"0.1611","0.1612","0.1601","0.1602"
03/17/2021,"0.1601","0.1612","0.1597","0.1611"
03/16/2021,"0.1604","0.1607","0.1598","0.1601"
03/15/2021,"0.1607","0.1610","0.1602","0.1604"
03/12/2021,"0.1612","0.1612","0.1602","0.1607"
03/11/2021,"0.1604","0.1612","0.1602","0.1612"
03/10/2021,"0.1600","0.1604","0.1595","0.1604"
03/09/2021,"0.1593","0.1602","0.1592","0.1600"
