Date,Open,High,Low,Close
06/07/2021,"0.1730","0.1732","0.1718","0.1724"
06/04/2021,"0.1725","0.1730","0.1718","0.1730"
06/03/2021,"0.1725","0.1729","0.1724","0.1725"
06/02/2021,"0.1727","0.1728","0.1721","0.1725"
06/01/2021,"0.1725","0.1731","0.1725","0.1727"
05/31/2021,"0.1730","0.1732","0.1723","0.1725"
05/28/2021,"0.1726","0.1730","0.1722","0.1730"
05/27/2021,"0.1728","0.1730","0.1723","0.1726"
05/26/2021,"0.1729","0.1730","0.1723","0.1728"
05/25/2021,"0.1727","0.1732","0.1724","0.1729"
05/24/2021,"0.1729","0.1730","0.1726","0.1727"
05/21/2021,"0.1732","0.1732","0.1726","0.1729"
05/20/2021,"0.1735","0.1736","0.1729","0.1732"
05/19/2021,"0.1735","0.1736","0.1732","0.1735"
05/18/2021,"0.1735","0.1737","0.1730","0.1735"
05/17/2021,"0.1735","0.1737","0.1733","0.1735"
05/14/2021,"0.1735","0.1737","0.1733","0.1735"
05/13/2021,"0.1735","0.1736","0.1731","0.1735"
05/12/2021,"0.1737","0.1737","0.1730","0.1735"
05/11/2021,"0.1735","0.1738","0.1731","0.1737"
05/10/2021,"0.1732","0.1743","0.1732","0.1735"
05/07/2021,"0.1732","0.1735","0.1732","0.1732"
05/06/2021,"0.1733","0.1735","0.1730","0.1732"
05/05/2021,"0.1731","0.1736","0.1730","0.1733"
05/04/2021,"0.1729","0.1733","0.1728","0.1731"
05/03/2021,"0.1729","0.1730","0.1724","0.1729"
04/30/2021,"0.1732","0.1735","0.1729","0.1729"
04/29/2021,"0.1729","0.1739","0.1729","0.1732"
04/28/2021,"0.1731","0.1733","0.1724","0.1729"
04/27/2021,"0.1731","0.1732","0.1723","0.1731"
04/26/2021,"0.1730","0.1734","0.1730","0.1731"
04/23/2021,"0.1729","0.1732","0.1729","0.1730"
04/22/2021,"0.1731","0.1735","0.1729","0.1729"
04/21/2021,"0.1731","0.1735","0.1730","0.1731"
04/20/2021,"0.1733","0.1737","0.1729","0.1730"
04/19/2021,"0.1730","0.1735","0.1726","0.1733"
04/16/2021,"0.1729","0.1732","0.1729","0.1730"
04/15/2021,"0.1730","0.1732","0.1727","0.1729"
04/14/2021,"0.1730","0.1731","0.1729","0.1730"
04/13/2021,"0.1733","0.1734","0.1729","0.1730"
04/12/2021,"0.1730","0.1733","0.1729","0.1733"
04/09/2021,"0.1730","0.1736","0.1729","0.1730"
04/08/2021,"0.1730","0.1733","0.1728","0.1730"
04/07/2021,"0.1729","0.1736","0.1728","0.1730"
04/06/2021,"0.1733","0.1743","0.1729","0.1729"
04/05/2021,"0.1732","0.1736","0.1730","0.1733"
04/02/2021,"0.1729","0.1732","0.1729","0.1732"
04/01/2021,"0.1729","0.1732","0.1728","0.1729"
03/31/2021,"0.1725","0.1737","0.1725","0.1729"
03/30/2021,"0.1730","0.1734","0.1721","0.1725"
03/29/2021,"0.1738","0.1742","0.1725","0.1730"
03/26/2021,"0.1738","0.1742","0.1732","0.1738"
03/25/2021,"0.1741","0.1742","0.1730","0.1738"
03/24/2021,"0.1741","0.1742","0.1736","0.1741"
03/23/2021,"0.1741","0.1746","0.1740","0.1741"
03/22/2021,"0.1742","0.1745","0.1739","0.1741"
03/19/2021,"0.1741","0.1744","0.1739","0.1742"
03/18/2021,"0.1741","0.1744","0.1732","0.1741"
03/17/2021,"0.1743","0.1745","0.1741","0.1741"
03/16/2021,"0.1745","0.1746","0.1732","0.1743"
03/15/2021,"0.1744","0.1749","0.1741","0.1745"
03/12/2021,"0.1741","0.1745","0.1741","0.1744"
03/11/2021,"0.1742","0.1750","0.1739","0.1741"
03/10/2021,"0.1742","0.1744","0.1739","0.1742"
03/09/2021,"0.1743","0.1745","0.1741","0.1742"
