Date,Open,High,Low,Close
06/07/2021,"0.1289","0.1289","0.1289","0.1289"
06/04/2021,"0.1289","0.1289","0.1288","0.1289"
06/03/2021,"0.1289","0.1289","0.1289","0.1289"
06/02/2021,"0.1289","0.1289","0.1288","0.1289"
06/01/2021,"0.1288","0.1289","0.1288","0.1289"
05/31/2021,"0.1288","0.1289","0.1288","0.1288"
05/28/2021,"0.1289","0.1289","0.1288","0.1288"
05/27/2021,"0.1288","0.1289","0.1288","0.1289"
05/26/2021,"0.1288","0.1288","0.1288","0.1288"
05/25/2021,"0.1288","0.1288","0.1288","0.1288"
05/24/2021,"0.1288","0.1288","0.1288","0.1288"
05/21/2021,"0.1288","0.1288","0.1288","0.1288"
05/20/2021,"0.1288","0.1288","0.1288","0.1288"
05/19/2021,"0.1288","0.1288","0.1287","0.1288"
05/18/2021,"0.1288","0.1288","0.1287","0.1288"
05/17/2021,"0.1287","0.1288","0.1287","0.1288"
05/14/2021,"0.1287","0.1288","0.1287","0.1287"
05/13/2021,"0.1288","0.1288","0.1287","0.1287"
05/12/2021,"0.1287","0.1288","0.1287","0.1288"
05/11/2021,"0.1288","0.1288","0.1287","0.1287"
05/10/2021,"0.1288","0.1288","0.1287","0.1288"
05/07/2021,"0.1287","0.1288","0.1287","0.1288"
05/06/2021,"0.1287","0.1287","0.1287","0.1287"
05/05/2021,"0.1287","0.1287","0.1287","0.1287"
05/04/2021,"0.1288","0.1288","0.1287","0.1287"
05/03/2021,"0.1288","0.1288","0.1287","0.1288"
04/30/2021,"0.1288","0.1288","0.1287","0.1287"
04/29/2021,"0.1288","0.1288","0.1288","0.1288"
04/28/2021,"0.1288","0.1288","0.1288","0.1288"
04/27/2021,"0.1289","0.1289","0.1288","0.1288"
04/26/2021,"0.1289","0.1289","0.1288","0.1289"
04/23/2021,"0.1289","0.1289","0.1288","0.1289"
04/22/2021,"0.1288","0.1289","0.1288","0.1289"
04/21/2021,"0.1288","0.1289","0.1288","0.1288"
04/20/2021,"0.1288","0.1289","0.1287","0.1288"
04/19/2021,"0.1287","0.1288","0.1286","0.1288"
04/16/2021,"0.1287","0.1288","0.1286","0.1287"
04/15/2021,"0.1288","0.1288","0.1287","0.1287"
04/14/2021,"0.1286","0.1288","0.1286","0.1288"
04/13/2021,"0.1286","0.1287","0.1286","0.1286"
04/12/2021,"0.1286","0.1287","0.1285","0.1286"
04/09/2021,"0.1286","0.1286","0.1285","0.1286"
04/08/2021,"0.1285","0.1286","0.1284","0.1286"
04/07/2021,"0.1286","0.1286","0.1284","0.1285"
04/06/2021,"0.1286","0.1286","0.1286","0.1286"
04/05/2021,"0.1286","0.1286","0.1286","0.1286"
04/02/2021,"0.1286","0.1286","0.1286","0.1286"
04/01/2021,"0.1286","0.1286","0.1286","0.1286"
03/31/2021,"0.1286","0.1286","0.1286","0.1286"
03/30/2021,"0.1286","0.1287","0.1286","0.1286"
03/29/2021,"0.1287","0.1287","0.1286","0.1286"
03/26/2021,"0.1287","0.1287","0.1287","0.1287"
03/25/2021,"0.1287","0.1287","0.1287","0.1287"
03/24/2021,"0.1287","0.1288","0.1287","0.1287"
03/23/2021,"0.1288","0.1288","0.1287","0.1287"
03/22/2021,"0.1288","0.1288","0.1287","0.1288"
03/19/2021,"0.1288","0.1288","0.1287","0.1288"
03/18/2021,"0.1288","0.1288","0.1288","0.1288"
03/17/2021,"0.1288","0.1288","0.1287","0.1288"
03/16/2021,"0.1288","0.1288","0.1287","0.1288"
03/15/2021,"0.1288","0.1288","0.1288","0.1288"
03/12/2021,"0.1289","0.1289","0.1288","0.1288"
03/11/2021,"0.1288","0.1289","0.1288","0.1289"
03/10/2021,"0.1289","0.1289","0.1288","0.1289"
03/09/2021,"0.1287","0.1289","0.1287","0.1289"
