Date,Open,High,Low,Close
06/07/2021,"0.00006995","0.00007016","0.00006995","0.00007011"
06/04/2021,"0.00007000","0.00007000","0.00006981","0.00006995"
06/03/2021,"0.00007003","0.00007010","0.00006986","0.00007000"
06/02/2021,"0.00007003","0.00007016","0.00006996","0.00007003"
06/01/2021,"0.00007003","0.00007003","0.00007003","0.00007003"
05/31/2021,"0.00007000","0.00007003","0.00006987","0.00007003"
05/28/2021,"0.00006999","0.00007000","0.00006982","0.00007000"
05/27/2021,"0.00006979","0.00007003","0.00006979","0.00006999"
05/26/2021,"0.00006979","0.00006979","0.00006979","0.00006979"
05/25/2021,"0.00006966","0.00006984","0.00006966","0.00006979"
05/24/2021,"0.00006966","0.00006973","0.00006961","0.00006966"
05/21/2021,"0.00006957","0.00006974","0.00006950","0.00006966"
05/20/2021,"0.00007001","0.00007001","0.00006944","0.00006957"
05/19/2021,"0.00007006","0.00007006","0.00006982","0.00007001"
05/18/2021,"0.00007001","0.00007007","0.00006986","0.00007006"
05/17/2021,"0.00007043","0.00007043","0.00006995","0.00007001"
05/14/2021,"0.00007043","0.00007043","0.00007043","0.00007043"
05/13/2021,"0.00007043","0.00007043","0.00007043","0.00007043"
05/12/2021,"0.00007043","0.00007043","0.00007043","0.00007043"
05/11/2021,"0.00007043","0.00007054","0.00007028","0.00007043"
05/10/2021,"0.00007000","0.00007053","0.00007000","0.00007043"
05/07/2021,"0.00006984","0.00007019","0.00006984","0.00007000"
05/06/2021,"0.00006928","0.00006986","0.00006928","0.00006984"
05/05/2021,"0.00006930","0.00006931","0.00006920","0.00006928"
05/04/2021,"0.00006920","0.00006938","0.00006916","0.00006930"
05/03/2021,"0.00006923","0.00006923","0.00006908","0.00006920"
04/30/2021,"0.00006920","0.00006932","0.00006894","0.00006923"
04/29/2021,"0.00006897","0.00006924","0.00006897","0.00006920"
04/28/2021,"0.00006904","0.00006904","0.00006886","0.00006897"
04/27/2021,"0.00006904","0.00006906","0.00006893","0.00006904"
04/26/2021,"0.00006885","0.00006908","0.00006885","0.00006904"
04/23/2021,"0.00006887","0.00006887","0.00006869","0.00006885"
04/22/2021,"0.00006882","0.00006892","0.00006880","0.00006887"
04/21/2021,"0.00006898","0.00006898","0.00006873","0.00006882"
04/20/2021,"0.00006874","0.00006905","0.00006874","0.00006898"
04/19/2021,"0.00006866","0.00006882","0.00006863","0.00006874"
04/16/2021,"0.00006845","0.00006871","0.00006838","0.00006866"
04/15/2021,"0.00006848","0.00006848","0.00006836","0.00006845"
04/14/2021,"0.00006847","0.00006848","0.00006839","0.00006848"
04/13/2021,"0.00006852","0.00006852","0.00006836","0.00006847"
04/12/2021,"0.00006866","0.00006866","0.00006836","0.00006852"
04/09/2021,"0.00006880","0.00006880","0.00006856","0.00006866"
04/08/2021,"0.00006899","0.00006899","0.00006863","0.00006880"
04/07/2021,"0.00006894","0.00006906","0.00006889","0.00006899"
04/06/2021,"0.00006889","0.00006901","0.00006885","0.00006894"
04/05/2021,"0.00006885","0.00006892","0.00006880","0.00006889"
04/02/2021,"0.00006885","0.00006885","0.00006885","0.00006885"
04/01/2021,"0.00006885","0.00006885","0.00006854","0.00006885"
03/31/2021,"0.00006906","0.00006906","0.00006860","0.00006885"
03/30/2021,"0.00006923","0.00006923","0.00006897","0.00006906"
03/29/2021,"0.00006936","0.00006936","0.00006918","0.00006923"
03/26/2021,"0.00006932","0.00006936","0.00006921","0.00006936"
03/25/2021,"0.00006932","0.00006932","0.00006914","0.00006932"
03/24/2021,"0.00006947","0.00006947","0.00006915","0.00006932"
03/23/2021,"0.00006943","0.00006947","0.00006932","0.00006947"
03/22/2021,"0.00006942","0.00006943","0.00006920","0.00006943"
03/19/2021,"0.00006940","0.00006942","0.00006910","0.00006942"
03/18/2021,"0.00006931","0.00006957","0.00006931","0.00006940"
03/17/2021,"0.00006940","0.00006940","0.00006913","0.00006931"
03/16/2021,"0.00006942","0.00006947","0.00006933","0.00006940"
03/15/2021,"0.00006952","0.00006952","0.00006933","0.00006942"
03/12/2021,"0.00006942","0.00006974","0.00006942","0.00006952"
03/11/2021,"0.00006942","0.00006942","0.00006942","0.00006942"
03/10/2021,"0.00006944","0.00006950","0.00006935","0.00006942"
03/09/2021,"0.00006964","0.00006964","0.00006909","0.00006944"
