Date,Open,High,Low,Close
06/07/2021,"0.013716","0.013746","0.013714","0.013733"
06/04/2021,"0.013691","0.013747","0.013671","0.013671"
06/03/2021,"0.013691","0.013691","0.013691","0.013691"
06/02/2021,"0.013728","0.013749","0.013642","0.013704"
06/01/2021,"0.013797","0.013797","0.013711","0.013728"
05/31/2021,"0.013813","0.013822","0.013766","0.013789"
05/28/2021,"0.013753","0.013823","0.013704","0.013811"
05/27/2021,"0.013761","0.013785","0.013582","0.013753"
05/26/2021,"0.013736","0.013766","0.013734","0.013763"
05/25/2021,"0.013729","0.013746","0.013716","0.013736"
05/24/2021,"0.013715","0.013732","0.013702","0.013728"
05/21/2021,"0.013696","0.013737","0.013683","0.013714"
05/20/2021,"0.013696","0.013704","0.013654","0.013696"
05/19/2021,"0.013675","0.013710","0.013651","0.013656"
05/18/2021,"0.013675","0.013675","0.013675","0.013675"
05/17/2021,"0.013646","0.013666","0.013633","0.013650"
05/14/2021,"0.013616","0.013664","0.013541","0.013646"
05/13/2021,"0.013598","0.013621","0.013572","0.013615"
05/12/2021,"0.013630","0.013636","0.013567","0.013573"
05/11/2021,"0.013602","0.013640","0.013592","0.013630"
05/10/2021,"0.013644","0.013651","0.013603","0.013608"
05/07/2021,"0.013585","0.013667","0.013558","0.013651"
05/06/2021,"0.013552","0.013592","0.013515","0.013585"
05/05/2021,"0.013555","0.013567","0.013509","0.013552"
05/04/2021,"0.013548","0.013565","0.013524","0.013558"
05/03/2021,"0.013496","0.013555","0.013456","0.013548"
04/30/2021,"0.013495","0.013533","0.013473","0.013496"
04/29/2021,"0.013457","0.013518","0.013424","0.013493"
04/28/2021,"0.013409","0.013458","0.013399","0.013450"
04/27/2021,"0.013374","0.013419","0.013363","0.013411"
04/26/2021,"0.013357","0.013388","0.013346","0.013374"
04/23/2021,"0.013318","0.013376","0.013309","0.013357"
04/22/2021,"0.013264","0.013354","0.013257","0.013318"
04/21/2021,"0.013255","0.013283","0.013237","0.013258"
04/20/2021,"0.013356","0.013397","0.013247","0.013254"
04/19/2021,"0.013411","0.013416","0.013327","0.013356"
04/16/2021,"0.013382","0.013458","0.013362","0.013416"
04/15/2021,"0.013331","0.013384","0.013276","0.013382"
04/14/2021,"0.013331","0.013331","0.013331","0.013331"
04/13/2021,"0.013335","0.013342","0.013256","0.013302"
04/12/2021,"0.013382","0.013382","0.013309","0.013335"
04/09/2021,"0.013413","0.013421","0.013345","0.013382"
04/08/2021,"0.013441","0.013474","0.013348","0.013413"
04/07/2021,"0.013605","0.013617","0.013413","0.013450"
04/06/2021,"0.013651","0.013659","0.013598","0.013605"
04/05/2021,"0.013628","0.013661","0.013617","0.013648"
04/02/2021,"0.013645","0.013651","0.013620","0.013628"
04/01/2021,"0.013671","0.013678","0.013619","0.013645"
03/31/2021,"0.013624","0.013681","0.013589","0.013661"
03/30/2021,"0.013759","0.013759","0.013601","0.013628"
03/29/2021,"0.013803","0.013803","0.013735","0.013748"
03/26/2021,"0.013766","0.013813","0.013762","0.013803"
03/25/2021,"0.013764","0.013777","0.013751","0.013773"
03/24/2021,"0.013774","0.013791","0.013759","0.013766"
03/23/2021,"0.013816","0.013835","0.013769","0.013774"
03/22/2021,"0.013804","0.013841","0.013788","0.013816"
03/19/2021,"0.013757","0.013814","0.013748","0.013801"
03/18/2021,"0.013832","0.013832","0.013747","0.013757"
03/17/2021,"0.013793","0.013847","0.013765","0.013833"
03/16/2021,"0.013790","0.013816","0.013767","0.013793"
03/15/2021,"0.013757","0.013800","0.013746","0.013792"
03/12/2021,"0.013767","0.013768","0.013730","0.013757"
03/11/2021,"0.013753","0.013781","0.013738","0.013767"
03/10/2021,"0.013741","0.013762","0.013689","0.013753"
03/09/2021,"0.013631","0.013741","0.013626","0.013741"
