Date,Open,High,Low,Close
06/07/2021,"0.008272","0.008317","0.008256","0.008309"
06/04/2021,"0.008255","0.008284","0.008234","0.008271"
06/03/2021,"0.008346","0.008351","0.008224","0.008254"
06/02/2021,"0.008303","0.008372","0.008280","0.008347"
06/01/2021,"0.008303","0.008303","0.008303","0.008303"
05/31/2021,"0.008261","0.008288","0.008235","0.008284"
05/28/2021,"0.008302","0.008326","0.008243","0.008261"
05/27/2021,"0.008243","0.008331","0.008231","0.008300"
05/26/2021,"0.008239","0.008265","0.008226","0.008244"
05/25/2021,"0.008085","0.008286","0.008082","0.008239"
05/24/2021,"0.008177","0.008177","0.008057","0.008085"
05/21/2021,"0.008190","0.008254","0.008169","0.008179"
05/20/2021,"0.008110","0.008191","0.008108","0.008191"
05/19/2021,"0.008131","0.008186","0.008102","0.008112"
05/18/2021,"0.008054","0.008139","0.008052","0.008133"
05/17/2021,"0.008041","0.008059","0.008025","0.008053"
05/14/2021,"0.008025","0.008058","0.008021","0.008049"
05/13/2021,"0.008021","0.008045","0.008008","0.008026"
05/12/2021,"0.008073","0.008074","0.008009","0.008021"
05/11/2021,"0.008038","0.008088","0.008034","0.008072"
05/10/2021,"0.008071","0.008080","0.008036","0.008039"
05/07/2021,"0.008015","0.008077","0.008008","0.008071"
05/06/2021,"0.007940","0.008017","0.007940","0.008017"
05/05/2021,"0.008014","0.008024","0.007932","0.007940"
05/04/2021,"0.008022","0.008085","0.007968","0.008015"
05/03/2021,"0.007980","0.008024","0.007949","0.008021"
04/30/2021,"0.008135","0.008139","0.007979","0.007980"
04/29/2021,"0.008160","0.008178","0.008130","0.008134"
04/28/2021,"0.008071","0.008166","0.008048","0.008159"
04/27/2021,"0.008071","0.008071","0.008071","0.008071"
04/26/2021,"0.007997","0.008052","0.007987","0.008046"
04/23/2021,"0.007957","0.008003","0.007955","0.008000"
04/22/2021,"0.007970","0.007993","0.007942","0.007957"
04/21/2021,"0.007934","0.008027","0.007912","0.007969"
04/20/2021,"0.007935","0.007963","0.007925","0.007935"
04/19/2021,"0.007910","0.007943","0.007882","0.007935"
04/16/2021,"0.007889","0.007911","0.007877","0.007910"
04/15/2021,"0.007897","0.007906","0.007865","0.007888"
04/14/2021,"0.007877","0.007904","0.007875","0.007896"
04/13/2021,"0.007877","0.007877","0.007877","0.007877"
04/12/2021,"0.007844","0.007847","0.007826","0.007842"
04/09/2021,"0.007890","0.007895","0.007813","0.007844"
04/08/2021,"0.007882","0.007898","0.007861","0.007891"
04/07/2021,"0.007922","0.007933","0.007875","0.007883"
04/06/2021,"0.007944","0.007950","0.007895","0.007924"
04/05/2021,"0.007911","0.007949","0.007893","0.007943"
04/02/2021,"0.007920","0.007926","0.007901","0.007909"
04/01/2021,"0.007888","0.007922","0.007877","0.007920"
03/31/2021,"0.007888","0.007888","0.007888","0.007888"
03/30/2021,"0.007890","0.007890","0.007890","0.007890"
03/29/2021,"0.007863","0.007865","0.007791","0.007843"
03/26/2021,"0.007843","0.007870","0.007842","0.007863"
03/25/2021,"0.007843","0.007843","0.007843","0.007843"
03/24/2021,"0.007980","0.007982","0.007872","0.007891"
03/23/2021,"0.007987","0.008032","0.007955","0.007979"
03/22/2021,"0.007883","0.007997","0.007857","0.007986"
03/19/2021,"0.007849","0.007890","0.007802","0.007885"
03/18/2021,"0.007912","0.007919","0.007844","0.007850"
03/17/2021,"0.007912","0.007912","0.007912","0.007912"
03/16/2021,"0.007833","0.007880","0.007822","0.007851"
03/15/2021,"0.007789","0.007835","0.007763","0.007833"
03/12/2021,"0.007806","0.007810","0.007738","0.007787"
03/11/2021,"0.007821","0.007849","0.007771","0.007808"
03/10/2021,"0.007846","0.007847","0.007795","0.007822"
03/09/2021,"0.007799","0.007854","0.007792","0.007846"
