Date,Open,High,Low,Close
06/07/2021,"0.063733","0.063824","0.063566","0.063730"
06/04/2021,"0.063736","0.063776","0.063702","0.063727"
06/03/2021,"0.063733","0.063824","0.063576","0.063735"
06/02/2021,"0.063782","0.063865","0.063569","0.063733"
06/01/2021,"0.063782","0.063782","0.063782","0.063782"
05/31/2021,"0.063866","0.063929","0.063615","0.063706"
05/28/2021,"0.063781","0.063890","0.063740","0.063860"
05/27/2021,"0.063781","0.063900","0.063616","0.063779"
05/26/2021,"0.063838","0.063901","0.063633","0.063775"
05/25/2021,"0.063821","0.063905","0.063651","0.063837"
05/24/2021,"0.063860","0.063911","0.063639","0.063821"
05/21/2021,"0.063780","0.063882","0.063742","0.063858"
05/20/2021,"0.063768","0.063898","0.063603","0.063792"
05/19/2021,"0.063759","0.063885","0.063605","0.063774"
05/18/2021,"0.063733","0.063885","0.063603","0.063780"
05/17/2021,"0.063871","0.063909","0.063582","0.063733"
05/14/2021,"0.063854","0.063891","0.063796","0.063865"
05/13/2021,"0.063766","0.063891","0.063719","0.063854"
05/12/2021,"0.063782","0.063837","0.063537","0.063762"
05/11/2021,"0.063807","0.063910","0.063612","0.063781"
05/10/2021,"0.063812","0.063907","0.063633","0.063811"
05/07/2021,"0.063831","0.063940","0.063780","0.063812"
05/06/2021,"0.063823","0.063927","0.063654","0.063814"
05/05/2021,"0.063815","0.063965","0.063695","0.063824"
05/04/2021,"0.063857","0.063982","0.063644","0.063808"
05/03/2021,"0.063929","0.063942","0.063510","0.063857"
04/30/2021,"0.063857","0.063908","0.063816","0.063848"
04/29/2021,"0.063880","0.063894","0.063796","0.063857"
04/28/2021,"0.063812","0.063890","0.063609","0.063878"
04/27/2021,"0.063723","0.063867","0.063502","0.063823"
04/26/2021,"0.063661","0.063898","0.063592","0.063718"
04/23/2021,"0.063683","0.063776","0.063660","0.063695"
04/22/2021,"0.063783","0.063898","0.063623","0.063696"
04/21/2021,"0.063673","0.063898","0.063608","0.063783"
04/20/2021,"0.063731","0.063878","0.063568","0.063674"
04/19/2021,"0.063761","0.064051","0.063529","0.063714"
04/16/2021,"0.063768","0.063814","0.063741","0.063783"
04/15/2021,"0.063768","0.063768","0.063768","0.063768"
04/14/2021,"0.063731","0.063857","0.063452","0.063819"
04/13/2021,"0.063740","0.063867","0.063590","0.063733"
04/12/2021,"0.063668","0.063898","0.063580","0.063739"
04/09/2021,"0.063641","0.063720","0.063618","0.063655"
04/08/2021,"0.063705","0.063816","0.063487","0.063652"
04/07/2021,"0.063651","0.063776","0.063483","0.063705"
04/06/2021,"0.064013","0.064059","0.063492","0.063654"
04/05/2021,"0.063560","0.064049","0.063512","0.064012"
04/02/2021,"0.063657","0.063707","0.063513","0.063578"
04/01/2021,"0.063639","0.063898","0.063523","0.063656"
03/31/2021,"0.063609","0.063816","0.063523","0.063637"
03/30/2021,"0.063690","0.063744","0.063504","0.063605"
03/29/2021,"0.063816","0.063816","0.063472","0.063706"
03/26/2021,"0.063691","0.063709","0.063573","0.063687"
03/25/2021,"0.063454","0.063708","0.063273","0.063659"
03/24/2021,"0.063443","0.063655","0.063276","0.063453"
03/23/2021,"0.063554","0.063669","0.063273","0.063443"
03/22/2021,"0.064016","0.064016","0.063388","0.063554"
03/19/2021,"0.063764","0.063812","0.063695","0.063781"
03/18/2021,"0.063622","0.063898","0.063485","0.063765"
03/17/2021,"0.063729","0.063763","0.063492","0.063649"
03/16/2021,"0.063617","0.063775","0.063488","0.063730"
03/15/2021,"0.063690","0.063939","0.063499","0.063644"
03/12/2021,"0.063682","0.063939","0.063654","0.063702"
03/11/2021,"0.063575","0.064021","0.063375","0.063694"
03/10/2021,"0.063581","0.063684","0.063392","0.063575"
03/09/2021,"0.063579","0.063695","0.063411","0.063579"
