Date,Open,High,Low,Close
06/07/2021,"1.4158","1.4191","1.4111","1.4177"
06/04/2021,"1.4104","1.4201","1.4083","1.4156"
06/03/2021,"1.4171","1.4202","1.4087","1.4106"
06/02/2021,"1.4153","1.4184","1.4113","1.4170"
06/01/2021,"1.4215","1.4248","1.4147","1.4149"
05/31/2021,"1.4201","1.4219","1.4165","1.4213"
05/28/2021,"1.4206","1.4213","1.4138","1.4190"
05/27/2021,"1.4120","1.4219","1.4091","1.4203"
05/26/2021,"1.4154","1.4176","1.4112","1.4117"
05/25/2021,"1.4155","1.4211","1.4116","1.4149"
05/24/2021,"1.4153","1.4173","1.4112","1.4157"
05/21/2021,"1.4191","1.4234","1.4140","1.4150"
05/20/2021,"1.4113","1.4193","1.4102","1.4189"
05/19/2021,"1.4189","1.4202","1.4100","1.4114"
05/18/2021,"1.4137","1.4221","1.4130","1.4188"
05/17/2021,"1.4096","1.4148","1.4078","1.4138"
05/14/2021,"1.4050","1.4111","1.4036","1.4096"
05/13/2021,"1.4054","1.4079","1.4006","1.4051"
05/12/2021,"1.4142","1.4155","1.4050","1.4053"
05/11/2021,"1.4118","1.4167","1.4105","1.4141"
05/10/2021,"1.3986","1.4159","1.3980","1.4117"
05/07/2021,"1.3890","1.4007","1.3887","1.3981"
05/06/2021,"1.3908","1.3942","1.3859","1.3892"
05/05/2021,"1.3887","1.3927","1.3876","1.3909"
05/04/2021,"1.3911","1.3915","1.3838","1.3888"
05/03/2021,"1.3813","1.3933","1.3801","1.3910"
04/30/2021,"1.3942","1.3959","1.3802","1.3817"
04/29/2021,"1.3938","1.3977","1.3931","1.3940"
04/28/2021,"1.3910","1.3951","1.3862","1.3939"
04/27/2021,"1.3900","1.3924","1.3858","1.3912"
04/26/2021,"1.3879","1.3936","1.3864","1.3901"
04/23/2021,"1.3838","1.3896","1.3834","1.3881"
04/22/2021,"1.3930","1.3950","1.3824","1.3839"
04/21/2021,"1.3938","1.3951","1.3888","1.3932"
04/20/2021,"1.3986","1.4010","1.3925","1.3940"
04/19/2021,"1.3834","1.3993","1.3810","1.3985"
04/16/2021,"1.3783","1.3842","1.3717","1.3840"
04/15/2021,"1.3777","1.3810","1.3762","1.3782"
04/14/2021,"1.3751","1.3809","1.3748","1.3779"
04/13/2021,"1.3740","1.3769","1.3697","1.3750"
04/12/2021,"1.3706","1.3777","1.3669","1.3744"
04/09/2021,"1.3734","1.3752","1.3671","1.3705"
04/08/2021,"1.3738","1.3783","1.3720","1.3736"
04/07/2021,"1.3826","1.3839","1.3723","1.3739"
04/06/2021,"1.3897","1.3920","1.3803","1.3825"
04/05/2021,"1.3833","1.3914","1.3813","1.3899"
04/02/2021,"1.3834","1.3853","1.3813","1.3832"
04/01/2021,"1.3785","1.3837","1.3747","1.3835"
03/31/2021,"1.3736","1.3811","1.3716","1.3783"
03/30/2021,"1.3762","1.3784","1.3707","1.3742"
03/29/2021,"1.3791","1.3846","1.3756","1.3764"
03/26/2021,"1.3733","1.3812","1.3730","1.3795"
03/25/2021,"1.3684","1.3746","1.3670","1.3732"
03/24/2021,"1.3752","1.3758","1.3675","1.3685"
03/23/2021,"1.3863","1.3866","1.3741","1.3751"
03/22/2021,"1.3870","1.3877","1.3817","1.3865"
03/19/2021,"1.3930","1.3958","1.3831","1.3864"
03/18/2021,"1.3965","1.4002","1.3897","1.3928"
03/17/2021,"1.3891","1.3971","1.3851","1.3963"
03/16/2021,"1.3902","1.3905","1.3809","1.3894"
03/15/2021,"1.3925","1.3946","1.3855","1.3903"
03/12/2021,"1.3990","1.4005","1.3864","1.3919"
03/11/2021,"1.3931","1.3996","1.3919","1.3992"
03/10/2021,"1.3886","1.3939","1.3845","1.3933"
03/09/2021,"1.3823","1.3924","1.3802","1.3887"
