Date,Open,High,Low,Close
06/07/2021,"0.1622","0.1627","0.1618","0.1625"
06/04/2021,"0.1616","0.1624","0.1613","0.1621"
06/03/2021,"0.1627","0.1628","0.1615","0.1616"
06/02/2021,"0.1626","0.1628","0.1621","0.1627"
06/01/2021,"0.1628","0.1632","0.1626","0.1626"
05/31/2021,"0.1622","0.1629","0.1622","0.1628"
05/28/2021,"0.1622","0.1624","0.1614","0.1622"
05/27/2021,"0.1623","0.1627","0.1620","0.1622"
05/26/2021,"0.1631","0.1632","0.1622","0.1623"
05/25/2021,"0.1628","0.1633","0.1627","0.1631"
05/24/2021,"0.1622","0.1630","0.1622","0.1628"
05/21/2021,"0.1628","0.1630","0.1619","0.1622"
05/20/2021,"0.1621","0.1629","0.1620","0.1628"
05/19/2021,"0.1626","0.1631","0.1619","0.1621"
05/18/2021,"0.1617","0.1628","0.1616","0.1626"
05/17/2021,"0.1616","0.1619","0.1612","0.1617"
05/14/2021,"0.1605","0.1616","0.1603","0.1616"
05/13/2021,"0.1604","0.1608","0.1601","0.1605"
05/12/2021,"0.1614","0.1615","0.1603","0.1604"
05/11/2021,"0.1608","0.1619","0.1608","0.1614"
05/10/2021,"0.1614","0.1616","0.1608","0.1608"
05/07/2021,"0.1601","0.1615","0.1599","0.1614"
05/06/2021,"0.1601","0.1601","0.1601","0.1601"
05/05/2021,"0.1593","0.1596","0.1590","0.1594"
05/04/2021,"0.1599","0.1600","0.1591","0.1593"
05/03/2021,"0.1593","0.1601","0.1592","0.1599"
04/30/2021,"0.1604","0.1605","0.1592","0.1593"
04/29/2021,"0.1604","0.1608","0.1602","0.1604"
04/28/2021,"0.1600","0.1605","0.1595","0.1604"
04/27/2021,"0.1597","0.1601","0.1593","0.1600"
04/26/2021,"0.1598","0.1601","0.1594","0.1598"
04/23/2021,"0.1587","0.1599","0.1586","0.1598"
04/22/2021,"0.1589","0.1594","0.1584","0.1587"
04/21/2021,"0.1589","0.1590","0.1584","0.1589"
04/20/2021,"0.1589","0.1589","0.1589","0.1589"
04/19/2021,"0.1583","0.1591","0.1580","0.1589"
04/16/2021,"0.1582","0.1585","0.1580","0.1583"
04/15/2021,"0.1582","0.1586","0.1581","0.1582"
04/14/2021,"0.1579","0.1584","0.1578","0.1583"
04/13/2021,"0.1574","0.1580","0.1570","0.1579"
04/12/2021,"0.1570","0.1575","0.1567","0.1574"
04/09/2021,"0.1572","0.1572","0.1566","0.1570"
04/08/2021,"0.1567","0.1572","0.1564","0.1572"
04/07/2021,"0.1568","0.1573","0.1565","0.1567"
04/06/2021,"0.1553","0.1569","0.1553","0.1568"
04/05/2021,"0.1553","0.1553","0.1553","0.1553"
04/02/2021,"0.1556","0.1557","0.1552","0.1553"
04/01/2021,"0.1549","0.1556","0.1547","0.1556"
03/31/2021,"0.1548","0.1553","0.1546","0.1549"
03/30/2021,"0.1553","0.1555","0.1547","0.1548"
03/29/2021,"0.1557","0.1558","0.1553","0.1554"
03/26/2021,"0.1553","0.1558","0.1553","0.1557"
03/25/2021,"0.1559","0.1562","0.1552","0.1553"
03/24/2021,"0.1564","0.1564","0.1559","0.1559"
03/23/2021,"0.1575","0.1577","0.1563","0.1564"
03/22/2021,"0.1571","0.1577","0.1568","0.1575"
03/19/2021,"0.1573","0.1576","0.1567","0.1571"
03/18/2021,"0.1573","0.1573","0.1573","0.1573"
03/17/2021,"0.1571","0.1582","0.1569","0.1581"
03/16/2021,"0.1574","0.1578","0.1568","0.1570"
03/15/2021,"0.1576","0.1576","0.1570","0.1574"
03/12/2021,"0.1579","0.1580","0.1569","0.1575"
03/11/2021,"0.1579","0.1579","0.1579","0.1579"
03/10/2021,"0.1568","0.1573","0.1563","0.1572"
03/09/2021,"0.1563","0.1572","0.1562","0.1568"
