Date,Open,High,Low,Close
06/07/2021,"3.3267","3.3278","3.3207","3.3260"
06/04/2021,"3.3211","3.3275","3.3187","3.3260"
06/03/2021,"3.3250","3.3271","3.3200","3.3206"
06/02/2021,"3.3246","3.3271","3.3217","3.3259"
06/01/2021,"3.3245","3.3282","3.3215","3.3249"
05/31/2021,"3.3223","3.3275","3.3196","3.3243"
05/28/2021,"3.3246","3.3276","3.3199","3.3219"
05/27/2021,"3.3259","3.3278","3.3222","3.3243"
05/26/2021,"3.3256","3.3292","3.3239","3.3264"
05/25/2021,"3.3272","3.3293","3.3236","3.3247"
05/24/2021,"3.3273","3.3284","3.3217","3.3270"
05/21/2021,"3.3254","3.3288","3.3236","3.3262"
05/20/2021,"3.3272","3.3286","3.3222","3.3245"
05/19/2021,"3.3277","3.3303","3.3225","3.3270"
05/18/2021,"3.3219","3.3291","3.3200","3.3282"
05/17/2021,"3.3234","3.3256","3.3197","3.3228"
05/14/2021,"3.3220","3.3246","3.3193","3.3233"
05/13/2021,"3.3231","3.3253","3.3203","3.3225"
05/12/2021,"3.3266","3.3285","3.3200","3.3240"
05/11/2021,"3.3216","3.3280","3.3210","3.3271"
05/10/2021,"3.3212","3.3265","3.3181","3.3214"
05/07/2021,"3.3164","3.3236","3.3128","3.3204"
05/06/2021,"3.3168","3.3229","3.3152","3.3172"
05/05/2021,"3.3171","3.3217","3.3149","3.3165"
05/04/2021,"3.3212","3.3213","3.3147","3.3169"
05/03/2021,"3.3212","3.3251","3.3146","3.3218"
04/30/2021,"3.3228","3.3239","3.3186","3.3213"
04/29/2021,"3.3239","3.3247","3.3189","3.3219"
04/28/2021,"3.3222","3.3253","3.3171","3.3230"
04/27/2021,"3.3221","3.3235","3.3183","3.3219"
04/26/2021,"3.3214","3.3246","3.3189","3.3226"
04/23/2021,"3.3186","3.3242","3.3178","3.3211"
04/22/2021,"3.3199","3.3236","3.3171","3.3189"
04/21/2021,"3.3207","3.3224","3.3179","3.3202"
04/20/2021,"3.3198","3.3227","3.3170","3.3198"
04/19/2021,"3.3172","3.3216","3.3148","3.3207"
04/16/2021,"3.3179","3.3195","3.3144","3.3172"
04/15/2021,"3.3169","3.3191","3.3133","3.3176"
04/14/2021,"3.3145","3.3191","3.3133","3.3160"
04/13/2021,"3.3155","3.3177","3.3103","3.3147"
04/12/2021,"3.3125","3.3163","3.3079","3.3146"
04/09/2021,"3.3139","3.3161","3.3102","3.3125"
04/08/2021,"3.3106","3.3167","3.3100","3.3151"
04/07/2021,"3.3118","3.3153","3.3094","3.3118"
04/06/2021,"3.3094","3.3143","3.3075","3.3120"
04/05/2021,"3.3105","3.3110","3.3060","3.3089"
04/02/2021,"3.3095","3.3131","3.3069","3.3107"
04/01/2021,"3.3075","3.3110","3.3017","3.3105"
03/31/2021,"3.3091","3.3141","3.3045","3.3084"
03/30/2021,"3.3084","3.3113","3.3055","3.3101"
03/29/2021,"3.3091","3.3153","3.2999","3.3075"
03/26/2021,"3.3115","3.3126","3.3063","3.3097"
03/25/2021,"3.3101","3.3126","3.3068","3.3109"
03/24/2021,"3.3088","3.3127","3.3063","3.3103"
03/23/2021,"3.3111","3.3130","3.3047","3.3093"
03/22/2021,"3.3112","3.3134","3.2906","3.3112"
03/19/2021,"3.3086","3.3141","3.3070","3.3120"
03/18/2021,"3.3135","3.3159","3.3082","3.3105"
03/17/2021,"3.3130","3.3166","3.3089","3.3126"
03/16/2021,"3.3101","3.3148","3.3069","3.3133"
03/15/2021,"3.3075","3.3132","3.3014","3.3104"
03/12/2021,"3.3078","3.3088","3.3021","3.3079"
03/11/2021,"3.3040","3.3097","3.3015","3.3071"
03/10/2021,"3.3023","3.3091","3.2981","3.3034"
03/09/2021,"3.2996","3.3080","3.2990","3.3039"
