Date,Open,High,Low,Close
06/07/2021,"0.1251","0.1255","0.1250","0.1251"
06/04/2021,"0.1251","0.1252","0.1251","0.1251"
06/03/2021,"0.1251","0.1254","0.1251","0.1251"
06/02/2021,"0.1251","0.1252","0.1251","0.1251"
06/01/2021,"0.1250","0.1253","0.1250","0.1251"
05/31/2021,"0.1250","0.1252","0.1250","0.1251"
05/28/2021,"0.1251","0.1252","0.1249","0.1250"
05/27/2021,"0.1251","0.1251","0.1248","0.1251"
05/26/2021,"0.1251","0.1251","0.1250","0.1251"
05/25/2021,"0.1250","0.1252","0.1250","0.1251"
05/24/2021,"0.1250","0.1251","0.1248","0.1250"
05/21/2021,"0.1250","0.1251","0.1250","0.1250"
05/20/2021,"0.1250","0.1252","0.1250","0.1250"
05/19/2021,"0.1250","0.1251","0.1250","0.1250"
05/18/2021,"0.1250","0.1251","0.1250","0.1250"
05/17/2021,"0.1250","0.1251","0.1249","0.1250"
05/14/2021,"0.1250","0.1251","0.1249","0.1250"
05/13/2021,"0.1250","0.1250","0.1248","0.1250"
05/12/2021,"0.1249","0.1251","0.1248","0.1250"
05/11/2021,"0.1250","0.1251","0.1248","0.1250"
05/10/2021,"0.1249","0.1251","0.1249","0.1250"
05/07/2021,"0.1249","0.1251","0.1249","0.1249"
05/06/2021,"0.1249","0.1251","0.1249","0.1249"
05/05/2021,"0.1250","0.1251","0.1249","0.1250"
05/04/2021,"0.1250","0.1251","0.1249","0.1250"
05/03/2021,"0.1250","0.1251","0.1248","0.1250"
04/30/2021,"0.1250","0.1251","0.1250","0.1250"
04/29/2021,"0.1250","0.1251","0.1250","0.1250"
04/28/2021,"0.1250","0.1251","0.1250","0.1250"
04/27/2021,"0.1251","0.1251","0.1250","0.1251"
04/26/2021,"0.1251","0.1252","0.1250","0.1251"
04/23/2021,"0.1251","0.1251","0.1250","0.1251"
04/22/2021,"0.1250","0.1252","0.1250","0.1251"
04/21/2021,"0.1251","0.1251","0.1250","0.1250"
04/20/2021,"0.1250","0.1251","0.1249","0.1250"
04/19/2021,"0.1249","0.1250","0.1247","0.1250"
04/16/2021,"0.1249","0.1250","0.1249","0.1249"
04/15/2021,"0.1250","0.1251","0.1249","0.1250"
04/14/2021,"0.1249","0.1250","0.1248","0.1250"
04/13/2021,"0.1249","0.1249","0.1248","0.1249"
04/12/2021,"0.1248","0.1250","0.1248","0.1249"
04/09/2021,"0.1248","0.1249","0.1247","0.1248"
04/08/2021,"0.1248","0.1249","0.1247","0.1248"
04/07/2021,"0.1248","0.1248","0.1247","0.1247"
04/06/2021,"0.1248","0.1249","0.1248","0.1248"
04/05/2021,"0.1248","0.1250","0.1248","0.1248"
04/02/2021,"0.1248","0.1251","0.1248","0.1248"
04/01/2021,"0.1248","0.1249","0.1248","0.1248"
03/31/2021,"0.1248","0.1250","0.1248","0.1248"
03/30/2021,"0.1248","0.1249","0.1248","0.1248"
03/29/2021,"0.1249","0.1250","0.1248","0.1249"
03/26/2021,"0.1249","0.1250","0.1248","0.1249"
03/25/2021,"0.1250","0.1250","0.1248","0.1249"
03/24/2021,"0.1250","0.1250","0.1248","0.1250"
03/23/2021,"0.1250","0.1251","0.1249","0.1250"
03/22/2021,"0.1250","0.1250","0.1249","0.1250"
03/19/2021,"0.1250","0.1251","0.1248","0.1250"
03/18/2021,"0.1250","0.1251","0.1250","0.1250"
03/17/2021,"0.1250","0.1251","0.1249","0.1250"
03/16/2021,"0.1250","0.1251","0.1249","0.1250"
03/15/2021,"0.1251","0.1253","0.1250","0.1250"
03/12/2021,"0.1251","0.1252","0.1249","0.1251"
03/11/2021,"0.1251","0.1255","0.1250","0.1251"
03/10/2021,"0.1250","0.1251","0.1249","0.1251"
03/09/2021,"0.1250","0.1251","0.1248","0.1250"
